query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
6453,150,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.5
8476,50,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.5
2309,150,1.0,0.2,0.2,0.2,0.2,0.4,0.6,0.8
8263,50,1.0,0.3,0.3,0.3,0.3,0.4,0.4,0.6
6020,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
1216,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.4
1012,50,1.0,0.3,0.3,0.4,0.4,0.5,0.6,0.7
5012,50,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.7
1339,150,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
7181,50,1.0,0.3,0.3,0.3,0.3,0.5,0.6,0.8
4233,50,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.7
8649,100,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
2926,100,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
5022,350,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
5286,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
9916,150,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
6785,50,1.0,0.2,0.3,0.3,0.3,0.4,0.6,0.8
3300,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
555,50,1.0,0.4,0.4,0.4,0.4,0.5,0.5,0.6
3444,50,1.0,0.1,0.1,0.2,0.2,0.5,0.9,0.9
315,200,1.0,0.1,0.1,0.2,0.2,0.2,0.3,0.4
563,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
9629,100,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4
9523,50,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6
6979,650,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
9468,200,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
2544,150,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
5333,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
9877,50,1.0,0.4,0.4,0.4,0.4,0.4,0.5,0.6
687,400,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6
7068,450,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.6
2754,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
8126,250,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
8440,150,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
4217,100,1.0,0.1,0.1,0.2,0.2,0.2,0.3,0.5
1925,50,1.0,0.3,0.3,0.3,0.3,0.5,0.6,0.8
6106,50,1.0,0.5,0.5,0.5,0.5,0.5,0.6,0.6
9166,250,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.5
4397,200,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
6060,100,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.6
8971,200,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
2060,100,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7
2565,50,1.0,0.3,0.3,0.4,0.4,0.5,0.6,0.7
4522,100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
1573,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.6
9555,800,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
4524,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
6186,50,1.0,0.1,0.1,0.2,0.2,0.2,0.3,0.5
1509,50,1.0,0.4,0.4,0.4,0.4,0.5,0.5,0.5
8049,200,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
6896,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.6
1771,300,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
5379,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
3401,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
1347,650,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.5
3745,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.6
2556,300,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
3254,50,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.6
5042,50,1.0,0.3,0.3,0.4,0.4,0.4,0.5,0.5
4724,150,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
9449,50,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.9
9115,150,1.0,0.1,0.1,0.1,0.2,0.2,0.2,0.4
938,50,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
8623,100,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
5933,50,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.4
2137,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
273,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.7
7782,100,1.0,0.1,0.1,0.2,0.2,0.2,0.4,0.6
503,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.6
872,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
9059,100,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.7
4510,400,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.7
1585,50,1.0,0.3,0.3,0.3,0.4,0.5,0.6,0.7
6542,100,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
3549,400,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
9332,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
488,200,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
7214,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.7
5018,50,1.0,0.3,0.3,0.3,0.4,0.4,0.5,0.7
8314,50,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
9257,50,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.5
141,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
4595,50,1.0,0.5,0.5,0.5,0.5,0.6,0.7,0.8
5695,200,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
4579,50,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.7
7527,50,1.0,0.4,0.4,0.4,0.4,0.4,0.5,0.6
9321,50,1.0,0.6,0.6,0.6,0.6,0.7,0.7,0.7
239,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
5485,50,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.7
4188,900,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
7689,100,1.0,0.1,0.2,0.2,0.2,0.2,0.3,0.5
1027,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
9496,100,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.7
6090,100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
4702,300,1.0,0.1,0.1,0.1,0.2,0.3,0.4,0.6
7879,200,1.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3
4760,50,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.7
1146,1200,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.7
6960,1200,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.6
351,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
1525,1550,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
9753,50,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.7
9619,1000,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.8
9715,100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
5717,100,1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2452,100,1.0,0.3,0.3,0.3,0.3,0.5,0.6,0.7
7907,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
2356,800,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
9868,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
8833,100,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
4525,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
4990,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
8237,200,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5
9067,100,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.8
8468,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
1029,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.6
251,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
4733,350,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
4528,150,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
817,50,1.0,0.2,0.3,0.3,0.3,0.3,0.4,0.6
3074,50,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.6
5494,100,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.6
102,50,1.0,0.3,0.3,0.3,0.3,0.5,0.6,0.7
3267,100,1.0,0.1,0.1,0.2,0.2,0.2,0.4,0.5
4610,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
4540,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
8958,250,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
3111,50,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
2860,100,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
5053,150,1.0,0.1,0.1,0.1,0.2,0.3,0.4,0.7
1616,50,1.0,0.4,0.4,0.4,0.5,0.6,0.8,0.8
6331,700,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
4979,200,1.0,0.1,0.2,0.2,0.2,0.2,0.3,0.5
6202,450,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
4511,150,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
3969,50,1.0,0.3,0.4,0.4,0.4,0.5,0.7,0.8
7737,100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
6520,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
1147,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
4533,100,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.5
2053,400,1.0,0.1,0.1,0.1,0.1,0.3,0.6,0.9
6722,100,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.7
9187,350,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
1853,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
236,50,1.0,0.2,0.2,0.2,0.2,0.4,0.6,0.7
1393,50,1.0,0.3,0.3,0.3,0.3,0.4,0.4,0.6
56,50,1.0,0.4,0.4,0.4,0.5,0.5,0.6,0.7
1552,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.7
497,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.5
8123,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
3442,150,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
8752,50,1.0,0.3,0.4,0.4,0.4,0.4,0.5,0.6
2373,100,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
1315,200,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4
1311,50,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.6
9689,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
8361,50,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.7
1272,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
4831,200,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.5
9131,100,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4
9526,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
5825,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
6981,200,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
4356,100,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
7639,300,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
6069,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
9264,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
2496,150,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.7
9123,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
1940,150,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
7121,100,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.7
7809,100,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5
868,300,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
9485,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.6
3366,100,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
3421,50,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.7
2164,500,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
5111,200,1.0,0.1,0.1,0.1,0.2,0.3,0.4,0.7
5951,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
9545,250,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
1952,50,1.0,0.2,0.2,0.3,0.3,0.4,0.7,0.9
5797,50,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.6
214,50,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.5
5112,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
3317,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.5
9433,50,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
2868,50,1.0,0.5,0.5,0.5,0.5,0.6,0.7,0.7
719,100,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
5438,50,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
8827,50,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.3
4599,50,1.0,0.5,0.5,0.5,0.6,0.6,0.7,0.8
1364,150,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.7
2139,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
6623,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.7
3712,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
5323,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.6
4427,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.6
2156,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.6
7532,1000,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
7399,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
5337,50,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.5
4657,50,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.7
4498,50,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.7
1228,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
7453,50,1.0,0.2,0.3,0.3,0.3,0.5,0.7,0.8
3944,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
6457,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.5
3410,200,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
1674,150,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
4375,100,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
624,50,1.0,0.1,0.2,0.2,0.2,0.2,0.4,0.6
4683,50,1.0,0.4,0.4,0.4,0.4,0.5,0.5,0.7
4288,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
2413,300,1.0,0.1,0.1,0.1,0.1,0.3,0.7,0.8
7135,100,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
6654,100,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
2845,200,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
6837,150,1.0,0.1,0.2,0.2,0.2,0.2,0.3,0.4
366,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
779,50,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
6708,100,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4
6604,50,1.0,0.1,0.2,0.2,0.2,0.2,0.3,0.5
9999,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
165,200,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
5370,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
6767,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
1836,400,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
9104,650,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.3
1409,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
5904,250,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
1994,100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.6
120,50,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.8
136,100,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.7
892,50,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.6
9616,200,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.6
2073,50,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7449,150,1.0,0.1,0.1,0.2,0.2,0.2,0.3,0.4
5048,150,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
9596,50,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.7
3800,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
4162,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
6307,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.6
3322,50,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
1250,100,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.7
8026,50,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.7
587,200,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
2968,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
2547,200,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
3778,50,1.0,0.4,0.4,0.4,0.5,0.5,0.6,0.7
7027,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
4235,100,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.5
2572,200,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
5573,50,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.6
4502,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.7
4232,150,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
8244,300,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
3848,50,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
4582,50,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.6
234,50,1.0,0.1,0.1,0.2,0.2,0.3,0.6,0.8
8662,50,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
9669,50,1.0,0.2,0.2,0.2,0.3,0.6,0.9,0.9
7118,50,1.0,0.4,0.4,0.4,0.4,0.4,0.5,0.5
4297,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
7042,400,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
3288,50,1.0,0.4,0.4,0.4,0.4,0.4,0.5,0.5
323,50,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.8
1277,100,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.8
8679,300,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
271,100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
9444,100,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
62,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
