query_idx,ef_true,RV_unw,RV_rank_5,RV_rank_10
2782,150,0.210288,0.437831,0.552025
1279,100,0.266455,0.539199,0.660279
6442,50,0.34554,0.639055,0.748378
1447,50,0.410909,0.67978,0.763228
2872,50,0.289474,0.584766,0.709021
6269,50,0.227152,0.490672,0.611683
7302,50,0.270535,0.560638,0.685319
9793,50,0.367502,0.655031,0.764612
5191,50,0.35843,0.630933,0.728153
4608,100,0.210851,0.438719,0.54477
1999,50,0.259434,0.550012,0.678501
1023,100,0.260626,0.526449,0.646384
9225,100,0.22439,0.470921,0.587151
2391,50,0.224392,0.484607,0.613201
1874,50,0.453922,0.700366,0.774858
9114,50,0.321774,0.611792,0.722744
8238,50,0.444549,0.712556,0.789818
4265,50,0.251105,0.513211,0.625823
9495,50,0.232278,0.487693,0.606948
3682,50,0.388321,0.690589,0.78845
6974,100,0.196309,0.458999,0.600538
6453,50,0.564622,0.758904,0.808933
8476,100,0.17929,0.396386,0.514694
2309,50,0.243197,0.507116,0.633147
8263,50,0.22633,0.492536,0.621973
6020,50,0.251464,0.516123,0.636646
1216,50,0.310646,0.595709,0.708146
1012,150,0.233661,0.486693,0.601722
5012,50,0.270773,0.542263,0.662211
1339,50,0.272043,0.533626,0.645887
7181,50,0.177902,0.43934,0.576532
4233,50,0.25617,0.541593,0.679004
8649,50,0.545224,0.789242,0.845293
2926,100,0.237921,0.505497,0.625598
5022,50,0.458204,0.757913,0.843575
5286,100,0.420894,0.675646,0.749844
9916,50,0.486626,0.746821,0.82486
6785,50,0.317288,0.612689,0.727563
3300,100,0.14916,0.358347,0.47474
555,50,0.311224,0.601776,0.713729
3444,100,0.15316,0.359003,0.471486
315,50,0.205567,0.477145,0.617
563,50,0.161798,0.396928,0.526952
9629,100,0.241141,0.469595,0.564363
9523,50,0.236699,0.499935,0.616112
6979,50,0.215528,0.466644,0.595188
9468,150,0.181314,0.401149,0.52057
2544,100,0.29602,0.579761,0.694198
5333,50,0.214703,0.464396,0.581193
9877,50,0.36295,0.614946,0.713121
687,50,0.305323,0.606096,0.72068
7068,50,0.5,0.743645,0.800501
2754,50,0.229615,0.481242,0.603444
8126,50,0.228764,0.494309,0.624255
8440,50,0.256119,0.53943,0.670908
4217,150,0.171754,0.383242,0.492617
1925,50,0.303495,0.602126,0.721359
6106,50,0.181473,0.42058,0.549735
9166,50,0.241485,0.493455,0.616219
4397,50,0.212431,0.461492,0.590975
6060,100,0.227273,0.479177,0.593501
8971,50,0.530448,0.757492,0.822643
2060,50,0.448952,0.742074,0.828147
