query_idx,ef_true,RV_rank,m_LID
8998,50,0.700333,12.6491
5097,50,0.700094,9.8112
2718,50,0.609111,9.47492
4543,100,0.612821,10.9243
8877,50,0.619452,12.4188
2836,50,0.683267,7.00252
8791,100,0.587698,8.03134
2782,150,0.552025,19.5089
1279,100,0.660279,14.7684
6442,50,0.748378,10.6354
1447,50,0.763228,10.704
2872,50,0.709021,4.12832
6269,50,0.611683,12.7017
7302,50,0.685319,11.1326
9793,50,0.764612,7.6256
5191,50,0.728153,15.2745
4608,100,0.54477,17.3986
1999,50,0.678501,12.0489
1023,100,0.646384,11.9854
9225,100,0.587151,17.7814
2391,50,0.613201,9.35997
1874,50,0.774858,11.2335
9114,50,0.722744,10.6719
8238,50,0.789818,12.5819
4265,50,0.625823,14.1496
9495,50,0.606948,11.5687
3682,50,0.78845,9.44241
6974,100,0.600538,11.5845
6453,50,0.808933,7.39519
8476,100,0.514694,14.6522
2309,50,0.633147,9.89698
8263,50,0.621973,19.4714
6020,50,0.636646,12.2165
1216,50,0.708146,8.69183
1012,150,0.601722,11.6476
5012,50,0.662211,11.8416
1339,50,0.645887,12.211
7181,50,0.576532,7.54951
4233,50,0.679004,3.88611
8649,50,0.845293,9.43487
2926,100,0.625598,15.0286
5022,50,0.843575,7.71383
5286,100,0.749844,13.3993
9916,50,0.82486,5.24113
6785,50,0.727563,6.5749
3300,100,0.47474,14.7968
555,50,0.713729,10.8652
3444,100,0.471486,14.7617
315,50,0.617,9.719
563,50,0.526952,11.7025
9629,100,0.564363,14.7158
9523,50,0.616112,11.3029
6979,50,0.595188,7.75561
9468,150,0.52057,14.4135
2544,100,0.694198,7.0719
5333,50,0.581193,10.7085
9877,50,0.713121,10.6657
687,50,0.72068,10.5648
7068,50,0.800501,11.0497
2754,50,0.603444,13.1221
8126,50,0.624255,14.7271
8440,50,0.670908,7.71498
4217,150,0.492617,15.7618
1925,50,0.721359,11.805
6106,50,0.549735,5.35411
9166,50,0.616219,14.9246
4397,50,0.590975,11.2621
6060,100,0.593501,13.6144
8971,50,0.822643,7.31319
2060,50,0.828147,6.35866
2565,50,0.695152,11.2943
4522,50,0.613346,5.00134
1573,50,0.664254,10.2929
9555,100,0.497279,9.87078
4524,50,0.776088,5.85964
6186,50,0.602134,10.6675
1509,50,0.690659,4.74674
8049,50,0.682388,12.1013
6896,200,0.458586,13.8629
1771,100,0.548026,14.4699
5379,50,0.491982,20.4637
3401,200,0.584222,14.9102
1347,100,0.578644,10.5149
3745,50,0.748656,8.89391
2556,50,0.629122,11.4063
3254,50,0.701034,12.0492
5042,50,0.604389,17.6984
4724,200,0.555398,14.8684
9449,50,0.723996,6.29876
9115,100,0.655956,14.3147
938,100,0.616808,13.8523
8623,50,0.681931,12.2093
5933,50,0.702536,16.0834
2137,50,0.646428,10.327
273,50,0.680279,9.30835
7782,50,0.541277,15.1237
503,50,0.61015,13.4203
872,50,0.658556,11.2292
9059,100,0.538446,15.9175
4510,50,0.620989,10.3757
1585,150,0.44659,14.7224
6542,50,0.863153,3.91534
3549,100,0.55227,11.6917
9332,50,0.656269,17.3386
488,50,0.640609,14.936
7214,350,0.520333,14.0232
5018,150,0.662499,16.2524
8314,50,0.813195,5.21792
9257,200,0.572964,10.7938
141,50,0.809188,7.30016
4595,50,0.726079,8.79318
5695,50,0.72448,11.6221
4579,50,0.736359,6.27405
7527,50,0.855732,3.14391
9321,50,0.612056,13.717
239,100,0.566542,15.2027
5485,150,0.559525,10.7589
4188,50,0.599667,11.3118
7689,50,0.775804,8.09416
1027,50,0.569667,20.7925
9496,50,0.625238,4.90088
6090,50,0.826097,10.9473
4702,100,0.406881,10.2138
7879,50,0.82957,9.51296
4760,50,0.624115,11.5496
1146,300,0.5611,12.5628
6960,100,0.548335,15.5691
351,50,0.621198,10.5422
1525,100,0.569681,17.0952
9753,50,0.623277,11.5761
9619,100,0.664305,10.1925
9715,100,0.529421,17.182
5717,550,0.424531,18.3308
2452,150,0.545922,20.4823
7907,100,0.553298,14.3809
2356,50,0.604349,12.3653
9868,50,0.636973,11.0662
8833,50,0.654977,12.0337
4525,50,0.731861,9.84377
4990,50,0.715091,5.15085
8237,100,0.578147,15.9125
9067,50,0.711893,8.00266
8468,100,0.637326,10.5042
1029,100,0.53006,13.2514
251,50,0.490878,10.122
4733,50,0.567744,13.6718
4528,50,0.71092,6.91638
817,100,0.690732,14.1631
3074,50,0.517673,15.1734
5494,50,0.724557,11.1085
102,50,0.627841,12.019
3267,100,0.549582,16.0753
4610,200,0.638313,12.5544
4540,300,0.495752,13.0359
8958,50,0.738968,15.4901
3111,100,0.433927,16.5361
2860,200,0.582343,6.47461
5053,50,0.735318,10.4393
1616,50,0.609633,14.7954
6331,50,0.833523,5.64344
4979,50,0.771626,10.1996
6202,50,0.841821,7.2372
4511,50,0.736792,11.6595
3969,50,0.645946,13.9903
7737,50,0.820375,4.31895
6520,50,0.606846,18.1599
1147,150,0.594755,10.6238
4533,50,0.685686,4.54225
2053,50,0.646055,10.1717
6722,50,0.866706,3.08519
9187,50,0.784941,8.59721
1853,50,0.609028,13.1485
236,50,0.752418,9.05052
1393,50,0.637213,9.56415
56,50,0.593268,12.61
