query_idx,ef_true,RV_log,m_LID
7453,450,0.242064,15.2811
3944,50,0.437843,6.47367
6457,250,0.24004,19.8616
3410,50,0.392156,21.368
1674,250,0.300612,18.4439
4375,200,0.218921,18.4478
624,550,0.276285,18.0339
4683,50,0.449797,11.2683
4288,250,0.271777,21.9822
2413,500,0.22704,21.3361
7135,100,0.267674,15.518
6654,50,0.491048,8.39058
2845,50,0.417033,8.39449
6837,50,0.32943,17.1415
366,800,0.318348,20.0914
779,1600,0.241738,22.6607
6708,1400,0.283495,15.8673
6604,50,0.377165,10.4199
9999,100,0.202038,22.9257
165,50,0.357088,13.1191
5370,2000,0.189555,39.5272
6767,50,0.29315,20.5626
1836,50,0.494946,12.5792
9104,950,0.241361,15.5022
1409,50,0.582226,8.67484
5904,50,0.4226,12.7531
1994,200,0.22595,33.8869
120,50,0.38668,12.9313
136,50,0.469381,8.96702
892,2000,0.336562,16.7211
9616,2000,0.281297,30.4489
2073,300,0.267844,19.9975
7449,2000,0.225995,18.5719
5048,50,0.559016,4.36834
9596,50,0.466858,9.001
3800,50,0.346019,13.1525
4162,150,0.378189,13.5807
6307,250,0.312768,16.1664
3322,200,0.311758,16.6911
1250,950,0.258139,25.5704
8026,200,0.189402,23.3268
587,100,0.36878,13.0088
2968,50,0.581922,4.21724
2547,50,0.268048,27.6695
3778,50,0.377628,13.4549
7027,50,0.609137,7.76879
4235,50,0.522938,8.6599
2572,100,0.332277,13.4689
5573,1600,0.231603,27.8548
4502,1000,0.252199,28.4951
4232,50,0.358073,18.684
8244,50,0.575068,6.36155
3848,150,0.325339,17.7315
4582,50,0.348489,11.5214
234,1050,0.237265,16.9001
8662,50,0.583158,5.97342
9669,50,0.489619,8.44669
7118,50,0.499384,9.62516
4297,50,0.418525,15.4168
7042,50,0.428692,8.5405
3288,1250,0.238901,27.1352
323,1050,0.304034,10.8788
1277,50,0.628226,3.77809
8679,50,0.367515,15.6569
271,850,0.234517,19.0871
9444,50,0.530182,5.42931
62,1300,0.206539,26.3791
7441,800,0.273347,19.8229
7421,2000,0.208039,19.7585
8438,2000,0.36557,16.7863
3614,950,0.203919,31.1001
7596,1800,0.237021,28.5754
792,50,0.469375,9.17889
401,50,0.489811,8.29716
2343,50,0.399236,10.7738
5192,100,0.37116,16.5712
356,50,0.593271,6.4268
118,50,0.596384,8.38992
4290,300,0.190691,24.3138
9642,50,0.306062,14.2241
9639,50,0.56881,7.50757
831,2000,0.197493,24.569
9756,50,0.335126,15.9768
7084,1300,0.202167,28.8617
1507,200,0.233043,18.3507
3962,800,0.22037,21.6793
9213,1250,0.226051,26.271
3633,1150,0.206858,19.0727
1802,2000,0.204974,22.2664
3884,50,0.368064,8.47385
3280,50,0.349625,17.8476
8505,200,0.315901,18.9185
8756,2000,0.171132,29.0037
2294,1950,0.249481,20.7302
8849,2000,0.24217,21.7313
6040,50,0.350745,16.4791
4286,50,0.491977,9.59667
8234,150,0.280747,15.533
5912,200,0.308285,21.8371
9033,2000,0.236952,18.7131
5967,50,0.480893,8.90485
586,50,0.371428,10.7034
1048,500,0.305303,15.1887
1428,50,0.351484,13.1893
8801,250,0.298668,19.1288
2771,50,0.23765,25.0074
197,50,0.640749,2.91016
7022,400,0.22985,19.4892
3100,750,0.264112,20.2102
725,150,0.368034,13.3936
4355,50,0.601918,3.95334
3325,50,0.699213,4.04013
9651,50,0.284435,16.1608
1499,450,0.230557,21.2965
8010,350,0.237313,25.6623
8809,2000,0.30122,32.6706
2820,250,0.225331,17.9203
8455,50,0.549009,5.10228
9823,150,0.254344,22.1737
6619,50,0.612824,12.5593
5788,50,0.342143,9.99139
6677,50,0.44933,11.574
515,50,0.401627,12.1989
6718,550,0.237791,17.4838
5804,100,0.275161,15.9869
3494,100,0.345758,25.5579
2023,50,0.381731,16.4859
1293,1150,0.268338,14.4105
2162,1500,0.288248,20.7297
4707,950,0.2443,30.704
3559,50,0.423816,14.1475
7760,50,0.232984,31.5791
2584,50,0.65274,11.2122
4418,650,0.227165,20.6593
375,100,0.4455,12.1232
3601,50,0.447565,11.134
7910,100,0.415455,16.3372
6528,700,0.211818,20.9155
1528,50,0.434453,12.0194
8511,100,0.414265,15.5652
4008,450,0.184786,28.8672
9255,250,0.191965,20.2459
5987,50,0.353754,6.51153
8965,50,0.49756,10.4738
2939,2000,0.33305,11.0964
6183,400,0.28382,11.9303
4523,2000,0.196483,23.0886
5796,150,0.371967,18.8856
7265,300,0.194074,17.1295
8240,50,0.26507,25.8097
1974,650,0.26706,18.8769
1543,50,0.561998,6.17647
7964,50,0.547831,18.5582
8493,250,0.240908,14.1221
3441,350,0.306185,22.7572
8177,2000,0.254184,20.0818
1697,50,0.501757,7.85481
8378,50,0.420946,7.90531
4019,50,0.55087,14.9426
5885,250,0.20727,16.1369
4802,100,0.315805,18.7389
1316,200,0.29803,17.3924
9534,550,0.198443,20.7932
9582,50,0.617452,6.13752
7911,50,0.306832,12.3087
2340,250,0.255573,11.2877
5418,350,0.220593,19.8669
5755,50,0.209741,17.3155
6274,50,0.302452,17.5359
4416,200,0.25532,16.5932
636,50,0.563178,1.89592
