query_idx,ef_true,RV_log,m_LID
8337,50,0.411271,8.51009
1007,1250,0.234032,13.6041
2883,2000,0.229853,17.1168
8153,200,0.281712,17.16
7424,300,0.197998,30.2819
294,1100,0.363571,11.68
6397,50,0.517421,6.08177
3183,100,0.295486,12.4091
8275,950,0.252834,21.1724
5636,50,0.398678,14.6327
5895,50,0.46331,11.9461
2150,1750,0.209311,21.0995
714,50,0.472468,15.1679
92,150,0.241451,17.6523
2577,50,0.705221,4.39607
4779,150,0.24338,19.5367
7862,1650,0.220188,13.9169
9615,100,0.249808,21.0982
9940,2000,0.213904,26.8071
5798,250,0.343435,15.6039
8952,800,0.223838,20.5394
108,50,0.562245,4.78841
6951,100,0.254781,16.0966
1284,1050,0.212129,24.603
1971,50,0.505238,7.3906
4746,2000,0.265238,20.1668
6080,250,0.17833,23.8631
8429,2000,0.255187,34.0122
3583,50,0.332461,19.757
7141,2000,0.359513,12.3342
965,150,0.246831,19.4594
6707,150,0.318048,15.2909
6841,50,0.361351,13.9799
6133,650,0.244257,24.7738
3542,2000,0.213789,29.0209
5039,50,0.196886,25.495
5334,50,0.619038,8.0978
4272,550,0.306689,15.9553
8135,800,0.246045,18.9076
1186,2000,0.261857,31.585
227,150,0.329631,17.6228
6321,150,0.33021,17.1008
7799,2000,0.199283,23.1697
9672,1650,0.277651,17.1061
9525,50,0.547347,13.8532
6595,50,0.440382,14.1202
7365,150,0.284703,16.7065
446,2000,0.20621,20.2551
8629,100,0.278035,21.3126
7869,1150,0.263788,24.8523
5148,50,0.576649,5.32665
1753,50,0.425249,14.2124
293,2000,0.284897,20.0331
2603,50,0.430424,16.6109
7859,600,0.232803,21.3117
2723,750,0.246549,22.6611
3617,1300,0.300722,19.9015
3043,350,0.322874,15.346
1399,50,0.443543,10.3009
7688,2000,0.217193,25.6998
8660,50,0.530676,9.10562
1852,750,0.312126,22.929
923,150,0.319549,14.0235
233,150,0.224568,21.4681
5991,600,0.2098,30.0131
6117,150,0.286038,18.0721
1550,100,0.36931,12.1762
9749,50,0.448886,5.70475
4649,50,0.397484,13.957
1434,150,0.320472,16.9069
3278,1550,0.225259,18.7657
2371,50,0.442306,12.2637
1103,50,0.369894,9.48733
8213,50,0.362037,12.1808
3545,150,0.424483,13.8726
5327,50,0.302914,19.2253
2903,2000,0.33865,15.0076
