query_idx,ef_true,RV_unw,RV_log
9495,150,0.154304,0.223268
3682,150,0.118125,0.228118
6974,100,0.225977,0.310526
6453,150,0.198755,0.266123
8476,50,0.236592,0.322557
2309,150,0.200405,0.315445
8263,50,0.376254,0.337292
6020,50,0.499261,0.559361
1216,50,0.383732,0.480378
1012,50,0.418354,0.440934
5012,50,0.416303,0.512561
1339,150,0.266925,0.308179
7181,50,0.333475,0.448429
4233,50,0.207522,0.324973
8649,100,0.355164,0.438121
2926,100,0.145362,0.2548
5022,350,0.107278,0.212132
5286,100,0.228378,0.302185
9916,150,0.145635,0.239497
6785,50,0.280125,0.480096
3300,50,0.245474,0.345384
555,50,0.475207,0.480225
3444,50,0.171021,0.667423
315,200,0.199582,0.258615
563,100,0.23675,0.355442
9629,100,0.167832,0.294873
9523,50,0.190168,0.341372
6979,650,0.0841122,0.176454
9468,200,0.162345,0.27865
2544,150,0.163389,0.274246
5333,50,0.26871,0.40941
9877,50,0.450549,0.581591
687,400,0.164883,0.257964
7068,450,0.160906,0.35895
2754,50,0.372652,0.447941
8126,250,0.155272,0.285493
8440,150,0.380535,0.532211
4217,100,0.2,0.311764
1925,50,0.318082,0.534809
6106,50,0.649743,0.504225
9166,250,0.142956,0.295492
4397,200,0.147309,0.24083
6060,100,0.295494,0.353305
8971,200,0.244789,0.333462
2060,100,0.146986,0.27353
2565,50,0.391997,0.516207
4522,100,0.166198,0.253077
1573,50,0.332783,0.404646
9555,800,0.142311,0.224638
4524,100,0.167519,0.309356
6186,50,0.189293,0.416175
1509,50,0.551149,0.595332
8049,200,0.116406,0.247095
6896,50,0.232239,0.385842
1771,300,0.138622,0.24256
5379,50,0.210692,0.372242
3401,50,0.385372,0.444848
1347,650,0.116571,0.292143
3745,150,0.122099,0.317313
2556,300,0.144448,0.287942
3254,50,0.182867,0.302373
5042,50,0.451698,0.534536
4724,150,0.185541,0.294364
9449,50,0.377311,0.594008
9115,150,0.178082,0.300358
938,50,0.213247,0.39699
8623,100,0.209642,0.312937
5933,50,0.278623,0.318014
2137,50,0.343154,0.428206
273,50,0.261131,0.475905
7782,100,0.19301,0.320544
503,50,0.397873,0.458444
872,50,0.444995,0.527908
9059,100,0.281035,0.348766
4510,400,0.17093,0.318618
1585,50,0.395541,0.501626
6542,100,0.253403,0.30298
3549,400,0.197647,0.364486
9332,50,0.254237,0.339719
488,200,0.150818,0.274687
7214,50,0.266744,0.392008
5018,50,0.427966,0.423711
8314,50,0.166727,0.300071
9257,50,0.22393,0.293979
141,50,0.205109,0.278407
4595,50,0.498704,0.768412
5695,200,0.210151,0.319388
4579,50,0.217227,0.431117
7527,50,0.443236,0.532424
9321,50,0.679577,0.830265
239,50,0.369177,0.441338
5485,50,0.248044,0.436928
4188,900,0.111374,0.176108
7689,100,0.174929,0.331839
1027,50,0.258218,0.333807
9496,100,0.177289,0.269357
6090,100,0.100669,0.282449
4702,300,0.15036,0.296849
7879,200,0.169434,0.244564
4760,50,0.133231,0.29009
1146,1200,0.0835975,0.25878
6960,1200,0.0880829,0.242975
351,50,0.247126,0.363792
1525,1550,0.117772,0.205561
9753,50,0.353225,0.394126
9619,1000,0.140074,0.304802
9715,100,0.166781,0.231656
5717,100,0.409473,0.448107
2452,100,0.341273,0.353941
7907,50,0.356038,0.354051
2356,800,0.18502,0.201192
9868,50,0.21289,0.353925
8833,100,0.172104,0.208853
4525,100,0.235757,0.279941
4990,50,0.339072,0.444607
8237,200,0.138805,0.273081
9067,100,0.453003,0.515088
8468,50,0.259619,0.340035
1029,50,0.281761,0.335627
251,50,0.288149,0.371982
4733,350,0.11703,0.229965
4528,150,0.172956,0.237946
817,50,0.330413,0.386002
3074,50,0.323064,0.382701
5494,100,0.291282,0.337593
102,50,0.345478,0.456032
3267,100,0.185099,0.30345
4610,50,0.36348,0.29428
4540,50,0.219683,0.349366
8958,250,0.15657,0.211445
3111,50,0.197596,0.294593
2860,100,0.235198,0.375326
5053,150,0.137647,0.319548
1616,50,0.345002,0.74388
6331,700,0.106066,0.208889
4979,200,0.190405,0.310644
6202,450,0.16587,0.273413
4511,150,0.1977,0.337373
3969,50,0.402639,0.597589
7737,100,0.130278,0.26379
6520,50,0.259196,0.363936
1147,50,0.239967,0.426341
4533,100,0.197437,0.285598
2053,400,0.139509,0.346913
6722,100,0.154785,0.29406
9187,350,0.123083,0.197612
1853,150,0.132201,0.2514
236,50,0.171452,0.414356
1393,50,0.351777,0.479298
56,50,0.476782,0.709528
