query_idx,ef_true,RV_unw,RV_log
6442,50,0.225363,0.335227
1447,900,0.100167,0.244407
2872,2000,0.129422,0.212872
6269,100,0.214232,0.339397
7302,50,0.421298,0.376748
9793,300,0.240613,0.193675
5191,50,0.351838,0.379478
4608,2000,0.091632,0.267702
1999,650,0.128136,0.257412
1023,2000,0.0744425,0.192965
9225,950,0.220339,0.267047
2391,700,0.15335,0.259811
1874,200,0.171649,0.258182
9114,50,0.373476,0.42482
8238,50,0.202614,0.334973
4265,100,0.155517,0.229065
9495,300,0.110613,0.268712
3682,50,0.349384,0.464598
6974,100,0.345164,0.489676
6453,200,0.119448,0.230831
8476,900,0.0756739,0.221193
2309,50,0.388799,0.505572
8263,50,0.230954,0.474593
6020,50,0.334701,0.51968
1216,100,0.2287,0.399369
1012,50,0.167506,0.260594
5012,1650,0.167314,0.20178
1339,50,0.345455,0.3511
7181,150,0.147484,0.229604
4233,300,0.0876578,0.191756
8649,150,0.168207,0.373072
2926,150,0.143857,0.278381
5022,2000,0.0845588,0.371071
5286,100,0.229993,0.260234
9916,100,0.150699,0.248377
6785,50,0.373178,0.424168
3300,50,0.280396,0.374165
555,50,0.28797,0.41956
3444,1450,0.0790785,0.293919
315,250,0.359301,0.398285
563,200,0.191083,0.248984
9629,50,0.197386,0.236632
9523,50,0.322409,0.469755
6979,200,0.101436,0.229136
9468,50,0.168444,0.412703
2544,250,0.113347,0.222431
5333,100,0.226804,0.312495
9877,50,0.174394,0.295592
687,100,0.316195,0.379153
7068,2000,0.0929657,0.19338
2754,800,0.115746,0.238042
8126,50,0.139356,0.403774
8440,150,0.294547,0.255851
4217,1050,0.110827,0.254294
1925,50,0.277412,0.418893
6106,100,0.193395,0.383206
9166,50,0.245166,0.419493
4397,50,0.441684,0.547312
6060,2000,0.0988391,0.226808
8971,50,0.463103,0.344592
2060,1900,0.0729927,0.20593
2565,50,0.57725,0.645775
4522,150,0.237256,0.196439
1573,50,0.253884,0.381296
9555,100,0.213656,0.253778
4524,50,0.159985,0.443898
6186,600,0.0816764,0.210106
1509,1600,0.122687,0.237299
8049,200,0.149384,0.299989
6896,100,0.342901,0.447926
1771,2000,0.108228,0.218568
5379,50,0.30352,0.454464
3401,100,0.352705,0.390313
1347,1050,0.171675,0.24693
3745,50,0.311581,0.366298
2556,50,0.237937,0.448303
3254,50,0.193455,0.399362
5042,200,0.189738,0.267526
4724,150,0.197927,0.333827
9449,50,0.228748,0.572044
9115,950,0.172164,0.224209
938,1750,0.144989,0.324153
8623,50,0.288288,0.442741
5933,50,0.195205,0.292962
2137,550,0.0846481,0.203939
273,50,0.155908,0.281629
7782,50,0.277503,0.342072
503,50,0.181594,0.569224
872,50,0.265778,0.165162
9059,50,0.316705,0.461033
4510,200,0.186939,0.323042
1585,50,0.257434,0.434977
6542,650,0.235951,0.293286
3549,100,0.160752,0.289165
9332,150,0.213967,0.230744
488,950,0.0832015,0.203515
7214,50,0.344922,0.357251
5018,50,0.261224,0.554005
8314,50,0.241026,0.371149
9257,2000,0.0837639,0.2577
141,50,0.385158,0.575792
4595,50,0.183891,0.259631
5695,1500,0.0873333,0.182619
4579,2000,0.12214,0.254849
7527,50,0.128551,0.261031
9321,100,0.315993,0.396357
239,650,0.0937805,0.283032
5485,150,0.176711,0.377474
4188,50,0.191584,0.374262
7689,100,0.169656,0.206751
1027,50,0.378158,0.571324
9496,50,0.408928,0.6207
6090,100,0.336868,0.357891
4702,300,0.114083,0.204127
7879,300,0.194124,0.224301
4760,350,0.159301,0.25386
1146,2000,0.0952692,0.231432
6960,50,0.249711,0.482933
351,2000,0.15793,0.247988
1525,2000,0.0820765,0.190658
9753,500,0.180906,0.152718
9619,550,0.132582,0.250756
9715,500,0.132082,0.209938
5717,100,0.320503,0.423042
2452,50,0.214981,0.307059
7907,50,0.265143,0.310128
2356,100,0.238041,0.340766
9868,50,0.520315,0.626702
8833,250,0.139356,0.234414
4525,50,0.161508,0.334139
4990,50,0.387833,0.53079
8237,50,0.206959,0.410433
9067,50,0.314631,0.516376
8468,50,0.251313,0.287357
1029,1350,0.107622,0.192569
251,50,0.294887,0.536801
4733,50,0.268205,0.354213
4528,400,0.153032,0.296084
817,1800,0.0947065,0.187584
3074,2000,0.073612,0.189167
5494,50,0.19309,0.310073
102,1500,0.112066,0.249652
3267,50,0.42376,0.461351
4610,2000,0.113573,0.220248
4540,50,0.208321,0.364654
8958,300,0.106333,0.278623
3111,1500,0.0789629,0.191065
2860,2000,0.0889507,0.195532
5053,50,0.329213,0.348557
1616,50,0.27355,0.378426
6331,50,0.133583,0.283226
4979,750,0.122954,0.296088
6202,50,0.302989,0.557134
4511,400,0.0772579,0.258203
3969,450,0.163408,0.203832
7737,50,0.288499,0.38429
6520,50,0.392624,0.527173
1147,700,0.0909725,0.220416
4533,100,0.140828,0.317606
2053,50,0.317208,0.426289
6722,50,0.229515,0.35805
9187,50,0.438758,0.607384
1853,50,0.351362,0.430309
236,100,0.129496,0.204619
1393,100,0.267843,0.406352
56,200,0.143369,0.250642
