query_idx,ef_true,RV_unw,m_LID
9332,50,0.254237,11.7441
488,200,0.150818,16.2655
7214,50,0.266744,7.93404
5018,50,0.427966,8.74328
8314,50,0.166727,15.65
9257,50,0.22393,12.9633
141,50,0.205109,10.6723
4595,50,0.498704,1.34449
5695,200,0.210151,14.4155
4579,50,0.217227,8.69534
7527,50,0.443236,5.97425
9321,50,0.679577,1.70701
239,50,0.369177,7.84925
5485,50,0.248044,7.04369
4188,900,0.111374,18.6035
7689,100,0.174929,12.7527
1027,50,0.258218,11.9532
9496,100,0.177289,11.3189
6090,100,0.100669,13.7396
4702,300,0.15036,12.9674
7879,200,0.169434,18.4042
4760,50,0.133231,11.037
1146,1200,0.0835975,12.3457
6960,1200,0.0880829,14.3664
351,50,0.247126,11.8896
1525,1550,0.117772,22.2742
9753,50,0.353225,13.9537
9619,1000,0.140074,19.2005
9715,100,0.166781,15.4016
5717,100,0.409473,10.0251
2452,100,0.341273,14.4935
7907,50,0.356038,14.7201
2356,800,0.18502,21.2426
9868,50,0.21289,10.7188
8833,100,0.172104,19.169
4525,100,0.235757,12.8426
4990,50,0.339072,9.68751
8237,200,0.138805,17.3784
9067,100,0.453003,10.7154
8468,50,0.259619,10.361
1029,50,0.281761,10.7964
251,50,0.288149,10.1172
4733,350,0.11703,16.8065
4528,150,0.172956,18.8481
817,50,0.330413,14.3942
3074,50,0.323064,9.04569
5494,100,0.291282,19.8445
102,50,0.345478,10.8098
3267,100,0.185099,16.7676
4610,50,0.36348,13.2862
4540,50,0.219683,10.7234
8958,250,0.15657,15.5882
3111,50,0.197596,15.0136
2860,100,0.235198,16.8078
5053,150,0.137647,11.1767
1616,50,0.345002,2.25014
6331,700,0.106066,20.5914
4979,200,0.190405,17.4269
6202,450,0.16587,12.9053
4511,150,0.1977,18.56
3969,50,0.402639,4.95147
7737,100,0.130278,15.9868
6520,50,0.259196,7.75466
1147,50,0.239967,12.399
4533,100,0.197437,17.1809
2053,400,0.139509,8.43885
6722,100,0.154785,19.3682
9187,350,0.123083,17.188
1853,150,0.132201,21.963
236,50,0.171452,9.1047
1393,50,0.351777,5.23605
56,50,0.476782,5.02746
