query_idx,ef_true,RV_unw,m_LID
872,50,0.253284,11.2292
9059,100,0.204662,15.9175
4510,50,0.253975,10.3757
1585,150,0.144254,14.7224
6542,50,0.5783,3.91534
3549,100,0.179388,11.6917
9332,50,0.292077,17.3386
488,50,0.256338,14.936
7214,350,0.186688,14.0232
5018,150,0.272916,16.2524
8314,50,0.429487,5.21792
9257,200,0.20936,10.7938
141,50,0.444498,7.30016
4595,50,0.316916,8.79318
5695,50,0.331286,11.6221
4579,50,0.331136,6.27405
7527,50,0.526256,3.14391
9321,50,0.238211,13.717
239,100,0.211747,15.2027
5485,150,0.21041,10.7589
4188,50,0.215514,11.3118
7689,50,0.41284,8.09416
1027,50,0.20741,20.7925
9496,50,0.216701,4.90088
6090,50,0.463327,10.9473
4702,100,0.127312,10.2138
7879,50,0.470223,9.51296
4760,50,0.234646,11.5496
1146,300,0.196274,12.5628
6960,100,0.210903,15.5691
351,50,0.256121,10.5422
1525,100,0.23474,17.0952
9753,50,0.248075,11.5761
9619,100,0.25173,10.1925
9715,100,0.185954,17.182
5717,550,0.137918,18.3308
2452,150,0.212033,20.4823
7907,100,0.199287,14.3809
2356,50,0.226908,12.3653
9868,50,0.234754,11.0662
8833,50,0.26717,12.0337
4525,50,0.343193,9.84377
4990,50,0.304403,5.15085
8237,100,0.234937,15.9125
9067,50,0.296393,8.00266
8468,100,0.261855,10.5042
1029,100,0.185865,13.2514
251,50,0.157028,10.122
4733,50,0.194129,13.6718
4528,50,0.307375,6.91638
817,100,0.308057,14.1631
3074,50,0.192003,15.1734
5494,50,0.35531,11.1085
102,50,0.2445,12.019
3267,100,0.18014,16.0753
4610,200,0.266526,12.5544
4540,300,0.17627,13.0359
8958,50,0.366204,15.4901
3111,100,0.14145,16.5361
2860,200,0.19785,6.47461
5053,50,0.339005,10.4393
1616,50,0.23221,14.7954
6331,50,0.491794,5.64344
4979,50,0.396101,10.1996
6202,50,0.586244,7.2372
4511,50,0.385421,11.6595
3969,50,0.248842,13.9903
7737,50,0.419268,4.31895
6520,50,0.211912,18.1599
1147,150,0.233133,10.6238
4533,50,0.26699,4.54225
2053,50,0.259015,10.1717
6722,50,0.636752,3.08519
9187,50,0.428836,8.59721
1853,50,0.213622,13.1485
236,50,0.34676,9.05052
1393,50,0.227597,9.56415
56,50,0.229391,12.61
