RC_bin,RV_bin,ef,actual_recall
"(3.91156,4.25239]","(0.650626,0.667093]","157","0.981429"
"(3.91156,4.25239]","(0.667093,0.684716]","78","0.952857"
"(3.91156,4.25239]","(0.684716,0.701636]","78","0.966667"
"(3.91156,4.25239]","(0.701636,0.723095]","78","0.9875"
"(3.91156,4.25239]","(0.723095,0.745794]","78","0.966"
"(3.91156,4.25239]","(0.745794,0.778149]","78","0.977143"
"(3.91156,4.25239]","(0.778149,0.8115]","78","0.99"
"(3.91156,4.25239]","(0.8115,0.885727]","78","0.99"
"(4.25239,4.58898]","(0.399463,0.482554]","315","0.95"
"(4.25239,4.58898]","(0.482554,0.507006]","236","0.985"
"(4.25239,4.58898]","(0.507006,0.526885]","157","0.97"
"(4.25239,4.58898]","(0.526885,0.54134]","157","0.97"
"(4.25239,4.58898]","(0.54134,0.555202]","157","0.953333"
"(4.25239,4.58898]","(0.555202,0.568005]","157","0.96875"
"(4.25239,4.58898]","(0.568005,0.582622]","157","0.97375"
"(4.25239,4.58898]","(0.582622,0.594014]","157","0.97375"
"(4.25239,4.58898]","(0.594014,0.606512]","157","0.973"
"(4.25239,4.58898]","(0.606512,0.622614]","78","0.953333"
"(4.25239,4.58898]","(0.622614,0.634976]","78","0.95"
"(4.25239,4.58898]","(0.634976,0.650626]","78","0.952857"
"(4.25239,4.58898]","(0.650626,0.667093]","78","0.964545"
"(4.25239,4.58898]","(0.667093,0.684716]","78","0.95"
"(4.25239,4.58898]","(0.684716,0.701636]","78","0.98"
"(4.25239,4.58898]","(0.701636,0.723095]","78","0.975"
"(4.25239,4.58898]","(0.723095,0.745794]","78","0.97"
"(4.25239,4.58898]","(0.745794,0.778149]","78","0.975"
"(4.25239,4.58898]","(0.778149,0.8115]","78","0.995"
"(4.25239,4.58898]","(0.8115,0.885727]","78","1"
"(4.58898,5.06613]","(0.399463,0.482554]","473","0.97"
"(4.58898,5.06613]","(0.507006,0.526885]","236","0.99"
"(4.58898,5.06613]","(0.526885,0.54134]","157","0.955"
"(4.58898,5.06613]","(0.555202,0.568005]","157","0.98"
"(4.58898,5.06613]","(0.568005,0.582622]","157","0.97"
"(4.58898,5.06613]","(0.582622,0.594014]","78","0.97"
"(4.58898,5.06613]","(0.594014,0.606512]","157","0.976364"
