query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
4854,350,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
3049,150,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.5
5209,50,1.0,0.2,0.2,0.3,0.3,0.5,0.8,0.9
9802,2750,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.4
5156,150,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.9
519,50,1.0,0.3,0.4,0.4,0.4,0.5,0.6,0.8
1488,400,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.8
9105,150,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
6857,50,1.0,0.3,0.3,0.3,0.4,0.6,0.8,0.9
7350,50,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.8
2769,100,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.8
5396,50,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.8
5276,50,1.0,0.4,0.4,0.4,0.5,0.6,0.8,0.8
6209,350,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
416,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
3277,50,1.0,0.4,0.4,0.5,0.6,0.8,0.9,0.9
6124,600,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.8
6291,3250,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
5691,50,1.0,0.2,0.3,0.3,0.3,0.5,0.8,0.9
3975,50,1.0,0.3,0.3,0.3,0.3,0.5,0.7,0.9
5861,4500,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3
798,50,1.0,0.3,0.3,0.4,0.4,0.6,0.7,0.8
6053,100,1.0,0.1,0.1,0.2,0.2,0.5,0.9,0.9
1071,100,1.0,0.1,0.2,0.2,0.2,0.3,0.6,0.7
3258,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
9024,50,1.0,0.4,0.4,0.4,0.5,0.6,0.7,0.8
8927,50,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.7
2760,50,1.0,0.3,0.4,0.4,0.4,0.6,0.7,0.8
2049,750,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
3543,50,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.8
8260,100,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.7
8357,50,1.0,0.3,0.4,0.4,0.4,0.6,0.7,0.9
898,50,1.0,0.4,0.4,0.4,0.5,0.7,0.9,0.9
8706,100,1.0,0.3,0.3,0.3,0.4,0.4,0.5,0.7
5684,250,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
8117,550,1.0,0.2,0.2,0.2,0.2,0.4,0.6,0.8
7016,3500,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.2
9254,50,1.0,0.2,0.3,0.3,0.3,0.5,0.7,0.8
