query_idx,ef_true,RV_rank,m_LID
2565,50,0.884761,11.9837
4522,150,0.56743,27.83
1573,50,0.668152,11.8289
9555,100,0.55224,18.9955
4524,50,0.515141,6.22037
6186,600,0.340127,22.6582
1509,1600,0.411666,19.6015
8049,200,0.448863,18.9606
6896,100,0.76612,12.7059
1771,2000,0.370201,17.7414
5379,50,0.699034,7.27334
3401,100,0.750044,12.455
1347,1050,0.46497,20.5796
3745,50,0.706488,16.2568
2556,50,0.660496,11.8988
3254,50,0.59921,6.7432
5042,200,0.512895,17.8845
4724,150,0.55962,14.8312
9449,50,0.693209,6.53909
9115,950,0.484965,27.3338
938,1750,0.521629,23.2978
8623,50,0.691263,8.95607
5933,50,0.552943,23.1395
2137,550,0.324684,26.6584
273,50,0.475162,13.2888
7782,50,0.683579,19.3306
503,50,0.641041,6.97611
872,50,0.571559,19.9176
9059,50,0.733156,6.39641
4510,200,0.526838,13.7693
1585,50,0.647788,10.0038
6542,650,0.63196,23.6097
3549,100,0.488106,15.1621
9332,150,0.521893,29.2437
488,950,0.317814,26.2441
7214,50,0.705603,17.6359
5018,50,0.684042,6.20419
8314,50,0.666793,17.6732
9257,2000,0.314185,27.7772
141,50,0.801693,12.4086
4595,50,0.527095,15.0697
5695,1500,0.317315,30.8416
4579,2000,0.433328,16.0846
7527,50,0.425892,10.441
9321,100,0.716682,18.4584
239,650,0.351674,15.427
5485,150,0.553974,14.155
4188,50,0.53682,13.0457
7689,100,0.473913,19.6452
1027,50,0.789753,5.92385
9496,50,0.821821,6.04756
6090,100,0.703181,13.6002
4702,300,0.352654,25.0087
7879,300,0.522881,23.3332
4760,350,0.521268,13.8045
1146,2000,0.367566,23.5622
6960,50,0.656675,9.61001
351,2000,0.455489,32.5563
1525,2000,0.328313,21.1286
9753,500,0.446811,34.5799
9619,550,0.429873,26.8381
9715,500,0.417524,25.6226
5717,100,0.699387,16.8815
2452,50,0.560059,11.2106
7907,50,0.669402,18.3878
2356,100,0.597235,14.8068
9868,50,0.856313,7.34762
8833,250,0.424914,15.5481
4525,50,0.492329,14.8162
4990,50,0.807413,9.78214
8237,50,0.559823,11.5273
9067,50,0.742272,12.2081
8468,50,0.642815,17.5792
1029,1350,0.381821,28.7326
251,50,0.742964,12.6428
4733,50,0.648625,15.2352
4528,400,0.464812,15.103
817,1800,0.322051,22.6473
3074,2000,0.295294,25.498
5494,50,0.555261,9.73812
102,1500,0.390751,19.4948
3267,50,0.808423,10.8799
4610,2000,0.37396,22.74
