query_idx,ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0,RV_gamma_50.0,RV_gamma_100.0
4768,50,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,0.0
7856,600,0.1,0.1,0.1,0.2,0.2,0.4,0.2,0.0,0.0
3287,2150,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.0,0.0
2192,100,0.2,0.3,0.3,0.3,0.4,0.6,0.8,0.0,0.0
7713,100,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.0,0.0
7057,250,0.2,0.2,0.2,0.3,0.4,0.6,0.7,0.0,0.0
3714,100,0.2,0.2,0.3,0.3,0.4,0.5,0.8,0.0,0.0
9552,100,0.1,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
1544,50,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
3294,100,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.0,0.0
1193,300,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.0,0.0
4826,100,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.2,0.0
2631,2600,0.1,0.2,0.2,0.2,0.3,0.4,0.1,0.0,0.0
2111,50,0.4,0.4,0.4,0.5,0.7,0.8,0.9,0.0,0.0
8093,1650,0.1,0.2,0.2,0.2,0.4,0.7,0.8,0.0,0.0
4581,350,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.0,0.0
5049,50,0.2,0.2,0.2,0.3,0.4,0.5,0.8,0.0,0.0
5446,550,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
8484,50,0.3,0.3,0.3,0.3,0.5,0.6,0.8,0.0,0.0
3885,50,0.3,0.3,0.3,0.3,0.5,0.7,0.8,0.0,0.0
5098,50,0.2,0.3,0.3,0.4,0.7,0.9,0.9,0.9,0.9
8008,2650,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
4623,50,0.3,0.3,0.3,0.4,0.6,0.9,0.9,0.0,0.0
3733,1300,0.1,0.1,0.1,0.1,0.2,0.3,0.6,0.0,0.0
7324,300,0.1,0.1,0.1,0.2,0.3,0.4,0.2,0.0,0.0
6711,900,0.1,0.2,0.2,0.2,0.3,0.5,0.1,0.0,0.0
2966,2700,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.0,0.0
5217,100,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.0,0.0
3812,50,0.2,0.2,0.2,0.3,0.4,0.6,0.3,0.0,0.0
2822,200,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
8276,150,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
2987,50,0.4,0.4,0.4,0.5,0.7,0.8,0.9,0.9,0.0
3868,2350,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
1926,900,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
1351,50,0.3,0.4,0.4,0.5,0.7,0.9,1.0,1.0,0.0
2107,150,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.0,0.0
3453,1200,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.0,0.0
3674,50,0.2,0.2,0.3,0.3,0.5,0.7,0.9,0.0,0.0
7538,450,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.0,0.0
4350,200,0.2,0.2,0.2,0.2,0.3,0.6,0.8,0.0,0.0
8998,1950,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
5097,50,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
2718,50,0.3,0.3,0.3,0.4,0.6,0.8,0.9,0.0,0.0
4543,100,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.0
8877,50,0.4,0.4,0.4,0.5,0.7,0.8,0.9,0.0,0.0
2836,50,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.0
8791,100,0.2,0.3,0.3,0.3,0.4,0.6,0.8,0.0,0.0
2782,50,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.0,0.0
1279,50,0.2,0.2,0.2,0.3,0.4,0.5,0.8,0.0,0.0
6442,50,0.2,0.2,0.3,0.3,0.5,0.6,0.8,0.0,0.0
1447,900,0.1,0.1,0.1,0.1,0.2,0.4,0.7,0.0,0.0
2872,2200,0.1,0.1,0.1,0.2,0.2,0.4,0.7,0.0,0.0
6269,100,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.0,0.0
7302,50,0.4,0.5,0.5,0.5,0.7,0.8,0.8,0.0,0.0
9793,300,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.0,0.0
5191,50,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.0,0.0
4608,5000,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
1999,650,0.1,0.1,0.1,0.2,0.2,0.4,0.6,0.0,0.0
1023,3100,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
9225,950,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.0,0.0
2391,700,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.0,0.0
1874,200,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
9114,50,0.4,0.4,0.4,0.5,0.7,0.8,0.8,0.8,0.0
8238,50,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
4265,100,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.0,0.0
9495,300,0.1,0.1,0.1,0.2,0.2,0.4,0.7,0.0,0.0
3682,50,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.0,0.0
6974,100,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.0,0.0
6453,200,0.1,0.1,0.1,0.2,0.2,0.4,0.5,0.0,0.0
8476,900,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.0,0.0
2309,50,0.4,0.4,0.5,0.5,0.7,0.8,0.9,0.0,0.0
8263,50,0.2,0.2,0.3,0.3,0.5,0.7,0.9,0.0,0.0
6020,50,0.3,0.4,0.4,0.5,0.7,0.9,0.9,0.0,0.0
1216,100,0.2,0.2,0.3,0.3,0.5,0.8,0.9,0.0,0.0
1012,50,0.2,0.2,0.2,0.2,0.4,0.6,0.7,0.0,0.0
5012,1650,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.0,0.0
1339,50,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.0,0.0
7181,150,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
4233,300,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.0,0.0
8649,150,0.2,0.2,0.2,0.2,0.4,0.6,0.9,0.0,0.0
2926,150,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
5022,4100,0.1,0.1,0.1,0.1,0.3,0.6,0.8,0.0,0.0
5286,100,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.0,0.0
9916,100,0.2,0.2,0.2,0.2,0.3,0.5,0.8,0.0,0.0
6785,50,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.0,0.0
3300,50,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.0,0.0
555,50,0.3,0.3,0.3,0.4,0.6,0.7,0.9,0.0,0.0
3444,1450,0.1,0.1,0.1,0.1,0.3,0.7,0.9,0.0,0.0
315,250,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.0,0.0
563,200,0.2,0.2,0.2,0.3,0.3,0.5,0.7,0.0,0.0
9629,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
9523,50,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.0,0.0
6979,200,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.0,0.0
9468,50,0.2,0.2,0.2,0.3,0.4,0.7,0.8,0.0,0.0
2544,250,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.0,0.0
5333,100,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.0,0.0
9877,50,0.2,0.2,0.2,0.2,0.4,0.6,0.8,0.0,0.0
687,100,0.3,0.3,0.4,0.4,0.6,0.8,0.9,0.1,0.0
7068,3050,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
2754,800,0.1,0.1,0.1,0.2,0.2,0.4,0.5,0.0,0.0
8126,50,0.1,0.2,0.2,0.2,0.4,0.8,0.9,0.0,0.0
8440,150,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.0,0.0
4217,1050,0.1,0.1,0.1,0.2,0.2,0.4,0.7,0.0,0.0
1925,50,0.3,0.3,0.3,0.4,0.5,0.7,0.9,0.0,0.0
6106,100,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
9166,50,0.2,0.3,0.3,0.3,0.5,0.6,0.7,0.0,0.0
4397,50,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.0,0.0
6060,3950,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
8971,50,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.0
2060,1900,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
2565,50,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.3,0.0
4522,150,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.0,0.0
1573,50,0.3,0.3,0.3,0.3,0.5,0.7,0.8,0.0,0.0
9555,100,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.0,0.0
4524,50,0.2,0.2,0.2,0.3,0.6,0.8,0.8,0.1,0.0
6186,600,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.0,0.0
1509,1600,0.1,0.1,0.1,0.2,0.2,0.4,0.6,0.0,0.0
8049,200,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.0,0.0
6896,100,0.3,0.4,0.4,0.4,0.6,0.7,0.9,0.0,0.0
1771,5000,0.1,0.1,0.1,0.1,0.2,0.4,0.6,0.0,0.0
5379,50,0.3,0.3,0.4,0.4,0.6,0.8,0.9,0.0,0.0
3401,100,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.0,0.0
1347,1050,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.0,0.0
3745,50,0.3,0.3,0.4,0.4,0.6,0.7,0.8,0.0,0.0
2556,50,0.2,0.3,0.3,0.3,0.5,0.7,0.9,0.0,0.0
3254,50,0.2,0.2,0.2,0.3,0.4,0.7,0.6,0.0,0.0
5042,200,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.0,0.0
4724,150,0.2,0.2,0.2,0.3,0.4,0.6,0.7,0.0,0.0
9449,50,0.2,0.3,0.3,0.3,0.6,0.9,0.9,0.0,0.0
9115,950,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.0,0.0
938,1750,0.1,0.2,0.2,0.2,0.3,0.5,0.1,0.0,0.0
8623,50,0.3,0.3,0.3,0.4,0.6,0.8,0.9,0.0,0.0
5933,50,0.2,0.2,0.2,0.3,0.4,0.5,0.8,0.0,0.0
2137,550,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.0,0.0
273,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
7782,50,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.0,0.0
503,50,0.2,0.2,0.2,0.3,0.6,0.9,0.9,0.0,0.0
872,50,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.0,0.0
9059,50,0.3,0.3,0.4,0.4,0.6,0.8,0.9,0.4,0.0
4510,200,0.2,0.2,0.2,0.2,0.4,0.6,0.8,0.0,0.0
1585,50,0.3,0.3,0.3,0.3,0.5,0.7,0.8,0.0,0.0
6542,650,0.2,0.3,0.3,0.3,0.4,0.6,0.5,0.0,0.0
3549,100,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
9332,150,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.0,0.0
488,950,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
7214,50,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.0
5018,50,0.3,0.3,0.3,0.4,0.6,0.8,0.9,0.0,0.0
8314,50,0.2,0.3,0.3,0.3,0.5,0.6,0.8,0.0,0.0
9257,2850,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
141,50,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.0,0.0
4595,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
5695,1500,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
4579,3200,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.0,0.0
7527,50,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.0,0.0
9321,100,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.4,0.0
239,650,0.1,0.1,0.1,0.1,0.2,0.4,0.8,0.0,0.0
5485,150,0.2,0.2,0.2,0.2,0.4,0.6,0.8,0.0,0.0
4188,50,0.2,0.2,0.2,0.3,0.4,0.6,0.9,0.0,0.0
7689,100,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
1027,50,0.4,0.4,0.4,0.5,0.7,0.8,1.0,1.0,0.0
9496,50,0.4,0.4,0.5,0.5,0.7,0.8,0.9,0.3,0.0
6090,100,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.1,0.0
4702,300,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.0,0.0
7879,300,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
4760,350,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.0,0.0
1146,5000,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
6960,50,0.3,0.3,0.3,0.3,0.5,0.7,0.8,0.0,0.0
351,3800,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.0,0.0
1525,2450,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
9753,500,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.0,0.0
9619,550,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.0,0.0
9715,500,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.0,0.0
5717,100,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.0,0.0
2452,50,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.0,0.0
7907,50,0.3,0.3,0.3,0.3,0.5,0.6,0.7,0.0,0.0
2356,100,0.2,0.2,0.3,0.3,0.3,0.5,0.6,0.1,0.0
9868,50,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.5,0.0
8833,250,0.1,0.1,0.2,0.2,0.3,0.4,0.7,0.0,0.0
4525,50,0.2,0.2,0.2,0.2,0.3,0.5,0.8,0.0,0.0
4990,50,0.4,0.4,0.5,0.5,0.7,0.8,0.8,0.3,0.0
8237,50,0.2,0.2,0.2,0.3,0.4,0.8,0.9,0.1,0.0
9067,50,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.0,0.0
8468,50,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.0,0.0
1029,1350,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.0,0.0
251,50,0.3,0.3,0.3,0.4,0.5,0.7,0.9,0.0,0.0
4733,50,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.0,0.0
4528,400,0.2,0.2,0.2,0.2,0.3,0.6,0.8,0.0,0.0
817,1800,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.0,0.0
3074,5000,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
5494,50,0.2,0.2,0.2,0.3,0.4,0.7,0.8,0.0,0.0
102,1500,0.1,0.1,0.1,0.2,0.2,0.4,0.5,0.0,0.0
3267,50,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.0,0.0
4610,2550,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.0,0.0
4540,50,0.2,0.2,0.3,0.3,0.4,0.7,0.8,0.0,0.0
8958,300,0.1,0.1,0.1,0.1,0.2,0.4,0.6,0.0,0.0
3111,1500,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
2860,4350,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
5053,50,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.0,0.0
1616,50,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.0,0.0
6331,50,0.1,0.1,0.2,0.2,0.3,0.6,0.8,0.0,0.0
4979,750,0.1,0.1,0.1,0.2,0.3,0.6,0.8,0.0,0.0
6202,50,0.3,0.3,0.4,0.4,0.6,0.8,0.9,0.0,0.0
4511,400,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.0,0.0
3969,450,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.0,0.0
7737,50,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.2,0.0
6520,50,0.4,0.4,0.5,0.5,0.7,0.9,0.9,0.1,0.0
1147,700,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.0,0.0
4533,100,0.1,0.2,0.2,0.2,0.4,0.7,0.8,0.0,0.0
2053,50,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.0,0.0
6722,50,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.0,0.0
9187,50,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.4,0.0
1853,50,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.0,0.0
236,100,0.1,0.1,0.2,0.2,0.3,0.4,0.7,0.0,0.0
1393,100,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.0,0.0
56,200,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
1552,150,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.0,0.0
497,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
8123,1450,0.1,0.1,0.1,0.1,0.2,0.4,0.0,0.0,0.0
3442,50,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.0,0.0
8752,1600,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.0,0.0
2373,50,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.0,0.0
1315,50,0.3,0.3,0.3,0.4,0.6,0.8,0.9,0.0,0.0
1311,50,0.4,0.5,0.5,0.6,0.7,0.9,0.9,0.1,0.0
9689,5000,0.1,0.1,0.1,0.1,0.2,0.4,0.0,0.0,0.0
8361,4400,0.1,0.1,0.2,0.2,0.3,0.4,0.2,0.0,0.0
1272,450,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
4831,200,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.0,0.0
9131,50,0.3,0.4,0.4,0.5,0.7,0.8,0.9,0.0,0.0
9526,5000,0.2,0.2,0.2,0.2,0.3,0.5,0.2,0.0,0.0
5825,600,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
6981,50,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.0,0.0
4356,850,0.1,0.1,0.1,0.1,0.2,0.4,0.0,0.0,0.0
7639,600,0.1,0.1,0.1,0.2,0.2,0.4,0.6,0.0,0.0
6069,50,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.0,0.0
9264,100,0.2,0.3,0.3,0.3,0.5,0.7,0.9,0.0,0.0
2496,50,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.0,0.0
9123,600,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.0,0.0
1940,300,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
7121,400,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.0,0.0
7809,150,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
868,50,0.2,0.2,0.3,0.3,0.6,0.9,0.9,0.0,0.0
9485,50,0.3,0.3,0.4,0.4,0.6,0.8,0.9,0.9,0.0
3366,2400,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.0,0.0
3421,450,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.0,0.0
2164,50,0.3,0.3,0.4,0.4,0.7,0.9,0.9,0.1,0.0
5111,50,0.4,0.4,0.4,0.4,0.5,0.7,0.8,0.0,0.0
5951,50,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.0,0.0
9545,50,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.0,0.0
1952,150,0.2,0.3,0.3,0.3,0.4,0.6,0.6,0.0,0.0
5797,300,0.1,0.1,0.1,0.2,0.2,0.4,0.6,0.0,0.0
214,450,0.1,0.2,0.2,0.2,0.3,0.5,0.3,0.0,0.0
5112,50,0.3,0.3,0.4,0.4,0.6,0.8,0.9,0.0,0.0
3317,50,0.2,0.2,0.2,0.3,0.4,0.7,0.9,0.9,0.0
9433,3500,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.0,0.0
2868,100,0.2,0.2,0.3,0.3,0.5,0.9,0.9,0.0,0.0
719,200,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.0,0.0
5438,700,0.1,0.2,0.2,0.2,0.3,0.6,0.8,0.0,0.0
8827,1100,0.1,0.1,0.2,0.2,0.3,0.4,0.8,0.0,0.0
4599,1000,0.1,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0
1364,100,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.0,0.0
2139,50,0.3,0.3,0.3,0.4,0.5,0.8,0.9,0.1,0.0
6623,800,0.1,0.1,0.1,0.2,0.3,0.5,0.1,0.0,0.0
3712,50,0.2,0.3,0.3,0.4,0.6,0.8,0.9,0.0,0.0
5323,600,0.2,0.2,0.2,0.2,0.3,0.5,0.8,0.0,0.0
4427,700,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.0,0.0
2156,400,0.1,0.1,0.1,0.2,0.2,0.4,0.7,0.0,0.0
7532,50,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.0,0.0
7399,50,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.0
5337,4150,0.1,0.1,0.1,0.1,0.2,0.3,0.7,0.0,0.0
4657,2450,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.0,0.0
4498,200,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.0,0.0
1228,50,0.2,0.2,0.2,0.2,0.4,0.7,0.9,0.0,0.0
7453,450,0.1,0.1,0.2,0.2,0.3,0.4,0.7,0.0,0.0
3944,50,0.3,0.3,0.4,0.4,0.7,0.9,0.9,0.9,0.0
6457,250,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.0,0.0
3410,50,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.0,0.0
1674,250,0.1,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
4375,200,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.0,0.0
624,550,0.1,0.2,0.2,0.2,0.3,0.5,0.3,0.0,0.0
4683,50,0.3,0.3,0.3,0.3,0.5,0.7,0.9,0.0,0.0
4288,250,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
2413,500,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0
7135,100,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
6654,50,0.2,0.2,0.3,0.3,0.5,0.8,0.9,0.9,0.0
2845,50,0.2,0.2,0.2,0.3,0.5,0.7,0.8,0.0,0.0
6837,50,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.0,0.0
366,800,0.2,0.2,0.2,0.2,0.4,0.5,0.1,0.0,0.0
779,1600,0.1,0.1,0.1,0.2,0.3,0.4,0.0,0.0,0.0
6708,1400,0.1,0.1,0.2,0.2,0.3,0.6,0.8,0.0,0.0
6604,50,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.0,0.0
9999,100,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
165,50,0.2,0.3,0.3,0.3,0.5,0.7,0.8,0.0,0.0
5370,4400,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.0,0.0
6767,50,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.0,0.0
1836,50,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.0,0.0
9104,950,0.1,0.1,0.1,0.1,0.2,0.4,0.7,0.0,0.0
1409,50,0.4,0.4,0.4,0.5,0.7,0.8,0.9,0.0,0.0
5904,50,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.0,0.0
1994,200,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
120,50,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.0,0.0
