RC_bin,RV_bin,ef,actual_recall
"(5.40733,5.69695]","(0.410039,0.435926]","394","0.95"
"(5.40733,5.69695]","(0.435926,0.454622]","394","0.96"
"(5.40733,5.69695]","(0.454622,0.470667]","394","0.96"
"(5.40733,5.69695]","(0.470667,0.487386]","315","0.97"
"(5.40733,5.69695]","(0.487386,0.501052]","236","0.966667"
"(5.40733,5.69695]","(0.501052,0.517294]","236","0.955"
"(5.40733,5.69695]","(0.517294,0.534766]","315","0.975"
"(5.40733,5.69695]","(0.534766,0.550466]","236","0.973"
"(5.40733,5.69695]","(0.550466,0.565932]","236","0.968667"
"(5.40733,5.69695]","(0.565932,0.581181]","236","0.97125"
"(5.40733,5.69695]","(0.581181,0.598669]","236","0.97375"
"(5.40733,5.69695]","(0.598669,0.617979]","236","0.963"
"(5.40733,5.69695]","(0.617979,0.634402]","157","0.968333"
"(5.40733,5.69695]","(0.634402,0.663608]","157","0.97"
"(5.40733,5.69695]","(0.663608,0.683543]","236","0.953333"
"(5.40733,5.69695]","(0.683543,0.714231]","78","0.976667"
"(5.40733,5.69695]","(0.714231,0.748711]","157","0.965"
"(5.40733,5.69695]","(0.748711,0.794228]","78","0.9675"
"(5.69695,6.01782]","(0.334409,0.410039]","867","0.95"
"(5.69695,6.01782]","(0.410039,0.435926]","473","0.955"
"(5.69695,6.01782]","(0.435926,0.454622]","473","0.956667"
"(5.69695,6.01782]","(0.454622,0.470667]","315","0.96875"
"(5.69695,6.01782]","(0.470667,0.487386]","315","0.965"
"(5.69695,6.01782]","(0.487386,0.501052]","315","0.97"
"(5.69695,6.01782]","(0.501052,0.517294]","236","0.96"
"(5.69695,6.01782]","(0.517294,0.534766]","236","0.963333"
"(5.69695,6.01782]","(0.534766,0.550466]","236","0.96"
"(5.69695,6.01782]","(0.550466,0.565932]","236","0.973333"
"(5.69695,6.01782]","(0.565932,0.581181]","236","0.9675"
"(5.69695,6.01782]","(0.581181,0.598669]","157","0.973"
"(5.69695,6.01782]","(0.598669,0.617979]","236","0.975"
"(5.69695,6.01782]","(0.617979,0.634402]","236","0.97"
"(5.69695,6.01782]","(0.634402,0.663608]","78","0.965714"
"(5.69695,6.01782]","(0.663608,0.683543]","78","0.964286"
"(5.69695,6.01782]","(0.683543,0.714231]","78","0.96"
"(5.69695,6.01782]","(0.714231,0.748711]","78","0.975"
"(5.69695,6.01782]","(0.748711,0.794228]","78","0.9725"
"(5.69695,6.01782]","(0.794228,0.892743]","78","0.99"
"(6.01782,6.41972]","(0.410039,0.435926]","315","0.96"
"(6.01782,6.41972]","(0.435926,0.454622]","315","0.9725"
"(6.01782,6.41972]","(0.454622,0.470667]","315","0.9675"
"(6.01782,6.41972]","(0.470667,0.487386]","315","0.966667"
"(6.01782,6.41972]","(0.487386,0.501052]","236","0.95"
"(6.01782,6.41972]","(0.501052,0.517294]","315","0.97"
"(6.01782,6.41972]","(0.517294,0.534766]","236","0.95125"
"(6.01782,6.41972]","(0.534766,0.550466]","157","0.953333"
"(6.01782,6.41972]","(0.550466,0.565932]","236","0.983333"
"(6.01782,6.41972]","(0.565932,0.581181]","157","0.96125"
"(6.01782,6.41972]","(0.581181,0.598669]","236","0.97"
"(6.01782,6.41972]","(0.598669,0.617979]","157","0.975"
"(6.01782,6.41972]","(0.617979,0.634402]","157","0.963"
"(6.01782,6.41972]","(0.634402,0.663608]","78","0.961667"
"(6.01782,6.41972]","(0.663608,0.683543]","78","0.954286"
"(6.01782,6.41972]","(0.683543,0.714231]","157","0.974"
"(6.01782,6.41972]","(0.714231,0.748711]","78","0.966667"
"(6.01782,6.41972]","(0.748711,0.794228]","157","0.975"
"(6.01782,6.41972]","(0.794228,0.892743]","78","0.97"
"(6.41972,6.94085]","(0.454622,0.470667]","394","0.965"
