query_id,score,recall
677,84.9135,1
678,89.6859,1
679,63.9401,0.9
680,76.7272,1
681,87.5263,1
682,75.1176,1
683,83.9167,1
684,81.3248,1
685,79.7525,0.8
686,85.1545,1
687,77.2389,1
688,76.1077,1
689,86.3515,1
690,67.4476,0.9
691,82.799,1
692,81.4542,1
693,63.2318,0.5
694,79.6541,1
695,85.3341,1
696,77.6003,1
697,88.623,1
698,84.6321,1
699,90.5809,1
700,82.1105,1
701,71.7956,0.9
702,73.0508,1
703,57.4174,1
704,83.1368,1
705,73.9394,1
706,79.5358,1
707,72.5307,1
708,75.3111,0.9
709,86.8153,1
710,75.3755,1
711,63.0171,0.7
712,75.2803,1
713,65.5078,1
714,57.3437,0.9
715,65.0279,0.7
716,84.3196,1
717,60.6653,0.9
718,65.8741,0.7
719,72.1183,0.9
720,74.1149,1
721,69.7405,0.9
722,74.0931,1
723,62.1363,0.7
724,70.8606,0.9
725,81.8544,1
726,67.0453,1
727,70.7911,1
728,66.0935,0.8
729,64.4359,1
730,67.0879,0.8
731,69.844,1
732,85.9735,1
733,85.2666,1
734,71.1583,0.9
735,63.454,0.9
736,77.0075,0.9
737,63.1784,0.9
738,77.4171,0.9
739,70.0396,1
740,69.8642,1
741,63.3318,0.6
742,71.0786,1
743,78.9834,1
744,66.8567,1
745,81.2016,1
746,76.9487,1
747,62.3681,0.7
748,55.6433,0.9
749,82.4211,1
750,69.552,1
751,67.119,0.9
752,81.4642,1
753,74.3364,1
754,66.6822,0.9
755,82.0693,1
756,79.6337,0.9
757,88.8282,1
758,82.7453,1
759,75.2467,1
760,77.3252,0.8
761,87.4271,1
762,75.2096,1
763,58.7847,0.9
764,80.3014,1
765,81.0008,1
766,80.6751,1
767,83.5507,1
768,80.5196,1
769,84.13,0.9
770,76.9693,1
771,69.5664,1
772,63.7462,1
773,52.3471,0.9
774,74.119,1
775,61.6012,0.9
776,77.2262,1
777,80.3872,1
778,72.0375,1
779,80.521,1
780,63.0693,0.7
781,81.75,1
782,70.0135,1
783,60.32,1
784,75.6754,1
785,81.7886,1
786,69.2605,1
787,60.3445,0.8
788,72.375,1
789,64.5117,0.7
790,84.4816,1
791,69.0791,1
792,48.5072,0.9
793,57.5107,0.6
794,76.5461,1
795,72.5388,1
796,81.2946,1
797,85.8508,1
798,87.4453,1
799,62.4317,0.9
800,83.5325,1
801,67.6529,0.8
802,84.7357,1
803,81.1022,1
804,81.0944,1
805,87.2871,1
806,86.9621,1
807,85.2386,1
808,80.6477,1
809,83.6244,1
810,70.0218,1
811,81.9357,1
812,84.9807,1
813,53.9264,0.6
814,90.0101,1
815,86.7276,1
816,72.0859,1
817,68.7066,0.7
818,87.3357,1
819,75.1325,1
820,89.1028,1
821,79.4144,1
822,64.4053,0.9
823,67.2808,1
824,68.126,0.9
825,78.0594,1
826,63.9262,0.7
827,63.6055,1
828,69.9834,0.9
829,72.716,1
830,74.1497,1
831,90.0439,1
832,76.3424,1
833,62.6884,0.9
834,65.2908,0.8
835,77.0991,1
836,67.6568,1
837,82.355,1
838,71.0661,0.8
839,66.8992,0.7
840,61.2926,0.9
841,56.6094,0.6
842,79.8621,0.9
843,75.2433,1
844,62.0703,0.6
845,64.4784,0.9
846,74.4516,1
847,69.7272,0.9
848,66.2976,1
849,72.4957,1
850,76.4658,0.9
851,57.9173,1
852,77.2657,1
853,84.8978,1
854,64.3149,0.8
855,77.7449,0.9
856,85.768,1
857,75.2565,1
858,80.2198,1
859,60.5856,0.9
860,66.6541,1
861,61.0144,0.5
862,73.3431,1
863,79.5548,1
864,75.724,0.9
865,73.3185,1
866,66.8971,1
867,67.2883,0.8
868,59.9718,1
869,78.5122,1
870,61.1512,0.7
871,69.2583,0.8
872,78.844,1
873,67.3895,0.7
874,80.7964,1
875,62.4895,0.9
876,67.8309,1
877,52.9374,0.9
878,73.4538,1
879,59.882,0.7
880,71.1532,1
881,75.1256,1
882,80.2815,1
883,70.7553,1
884,73.0024,1
885,74.7024,1
886,71.5406,0.9
887,68.1363,0.7
888,57.8765,0.9
889,70.6835,1
890,70.1569,0.7
891,82.5759,1
892,71.2155,0.9
893,65.6258,1
894,72.1413,1
895,60.007,0.9
896,74.2841,0.9
897,66.6958,1
898,73.7228,1
899,61.3887,0.9
900,49.1158,1
901,75.3224,1
902,82.5063,1
903,78.637,1
904,71.493,0.9
905,78.9916,1
