query_idx,ef_true,RV_gauss,RV_hub_05,RV_hub_10,RV_hub_20
3885,50,0.366409,0.355688,0.344747,0.323057
5098,50,0.421745,0.418366,0.413418,0.403104
8008,2650,0.257875,0.236811,0.218084,0.187553
4623,50,0.447403,0.440605,0.432606,0.41446
3733,1300,0.139873,0.123982,0.11056,0.0899909
7324,300,0.175228,0.174189,0.171725,0.164108
6711,900,0.209594,0.202831,0.194892,0.178238
2966,2700,0.239775,0.233083,0.225404,0.209136
5217,100,0.30636,0.293033,0.280399,0.259453
3812,50,0.274274,0.264792,0.254762,0.235521
2822,200,0.24023,0.224019,0.208293,0.181057
8276,150,0.272266,0.264638,0.255874,0.237505
2987,50,0.531599,0.521134,0.509794,0.486626
3868,2350,0.120231,0.112715,0.106087,0.0954924
1926,900,0.124389,0.117151,0.111526,0.103237
1351,50,0.502445,0.489169,0.476002,0.451172
2107,150,0.193793,0.18112,0.169635,0.15074
3453,1200,0.184951,0.16822,0.152451,0.125761
3674,50,0.325513,0.314924,0.302902,0.277541
7538,450,0.176064,0.171031,0.164705,0.149175
4350,200,0.24089,0.224243,0.209675,0.186066
8998,1950,0.131711,0.11287,0.0979369,0.0777482
5097,50,0.279941,0.25856,0.23946,0.207687
2718,50,0.416029,0.412354,0.409024,0.404019
4543,100,0.596422,0.587039,0.570952,0.507093
8877,50,0.546178,0.537393,0.527982,0.508034
2836,50,0.522716,0.503755,0.478683,0.405957
8791,100,0.334594,0.31634,0.297326,0.260711
2782,50,0.427018,0.403399,0.381533,0.344508
1279,50,0.280371,0.262746,0.24699,0.222539
6442,50,0.342459,0.334185,0.323726,0.298464
1447,900,0.152706,0.141732,0.131919,0.114582
2872,2200,0.176216,0.158927,0.144259,0.12317
6269,100,0.313232,0.30432,0.294859,0.276183
7302,50,0.556855,0.550484,0.542141,0.522489
9793,300,0.297698,0.275866,0.254148,0.210953
5191,50,0.467133,0.451212,0.433788,0.398067
4608,5000,0.13985,0.133213,0.125542,0.109497
1999,650,0.179793,0.146347,0.119054,0.0838141
1023,3100,0.110943,0.0913463,0.0776559,0.0627782
9225,950,0.269444,0.258316,0.245834,0.21571
2391,700,0.217777,0.200591,0.184495,0.157103
1874,200,0.236449,0.217813,0.201667,0.177496
9114,50,0.548441,0.558681,0.565026,0.56782
8238,50,0.286062,0.26798,0.249528,0.217309
4265,100,0.230343,0.211839,0.196564,0.174789
9495,300,0.165521,0.147012,0.12911,0.0995823
3682,50,0.503841,0.492201,0.478236,0.446332
6974,100,0.48774,0.480351,0.470502,0.44637
6453,200,0.171862,0.154337,0.138748,0.11451
8476,900,0.114891,0.09251,0.0768487,0.0598527
2309,50,0.576302,0.567062,0.556214,0.531813
8263,50,0.334928,0.329467,0.324076,0.31108
6020,50,0.5038,0.498676,0.492459,0.477392
1216,100,0.346449,0.342023,0.337915,0.329465
1012,50,0.259681,0.252582,0.2434,0.222811
5012,1650,0.218313,0.213544,0.20749,0.193796
1339,50,0.47242,0.462632,0.450247,0.42026
7181,150,0.212456,0.189361,0.17006,0.1427
4233,300,0.127908,0.119667,0.110522,0.0926161
8649,150,0.260012,0.239534,0.221438,0.193165
2926,150,0.197695,0.170905,0.149942,0.122251
5022,4100,0.150671,0.158017,0.16416,0.17098
5286,100,0.3076,0.29394,0.280418,0.254726
9916,100,0.216104,0.200369,0.185835,0.162127
6785,50,0.503832,0.494382,0.484918,0.465955
3300,50,0.380561,0.373075,0.36433,0.344048
555,50,0.431504,0.418713,0.404935,0.377192
3444,1450,0.136842,0.139683,0.140562,0.137655
315,250,0.486909,0.487137,0.481766,0.460876
563,200,0.266974,0.250619,0.234761,0.206984
9629,50,0.263123,0.239179,0.218531,0.187058
9523,50,0.46523,0.455851,0.442594,0.403889
6979,200,0.145474,0.127517,0.114516,0.0989718
9468,50,0.278604,0.277047,0.272507,0.257703
2544,250,0.173849,0.161786,0.150961,0.132673
5333,100,0.313864,0.297493,0.278197,0.238223
9877,50,0.267001,0.2499,0.234551,0.209184
687,100,0.438479,0.431691,0.424712,0.410744
7068,3050,0.140293,0.131929,0.123564,0.108628
2754,800,0.167505,0.153231,0.140346,0.119997
8126,50,0.240161,0.232221,0.224522,0.209985
8440,150,0.377924,0.36496,0.349481,0.314093
4217,1050,0.166766,0.152965,0.141198,0.121665
1925,50,0.398827,0.377744,0.35686,0.319271
6106,100,0.286892,0.264042,0.245284,0.217053
9166,50,0.355187,0.357961,0.356813,0.346172
4397,50,0.574579,0.568051,0.560181,0.542476
6060,3950,0.14672,0.145914,0.142643,0.1306
8971,50,0.538618,0.521606,0.504012,0.462058
2060,1900,0.117604,0.105808,0.0950502,0.0769074
2565,50,0.753518,0.754599,0.753864,0.749519
4522,150,0.293222,0.273618,0.254437,0.215208
1573,50,0.363217,0.350345,0.336862,0.309482
9555,100,0.290337,0.273537,0.257434,0.228867
4524,50,0.294411,0.296334,0.297152,0.295557
6186,600,0.124417,0.11497,0.106484,0.0914879
1509,1600,0.177366,0.170035,0.162512,0.146568
8049,200,0.208954,0.189208,0.17161,0.144573
6896,100,0.472497,0.456423,0.438959,0.404446
1771,5000,0.160404,0.148619,0.136957,0.116015
5379,50,0.436239,0.426631,0.41722,0.398881
3401,100,0.483905,0.471609,0.455847,0.419419
1347,1050,0.231829,0.219169,0.205795,0.179958
3745,50,0.444375,0.439204,0.43064,0.40664
2556,50,0.367683,0.35521,0.340257,0.305936
3254,50,0.306055,0.301382,0.295282,0.281125
5042,200,0.261013,0.243112,0.227101,0.200458
4724,150,0.288095,0.27692,0.265312,0.242546
9449,50,0.384814,0.378755,0.36753,0.335365
9115,950,0.239724,0.222557,0.205816,0.175737
938,1750,0.225243,0.213998,0.204936,0.193278
8623,50,0.429322,0.428631,0.425867,0.415505
5933,50,0.279631,0.266608,0.255637,0.237689
2137,550,0.126085,0.110609,0.0974647,0.0788259
273,50,0.221813,0.202137,0.185316,0.159213
7782,50,0.380316,0.367509,0.352937,0.321061
503,50,0.362672,0.380408,0.389975,0.390756
872,50,0.310765,0.295873,0.280102,0.244531
9059,50,0.461581,0.449669,0.437084,0.412337
4510,200,0.262505,0.251385,0.240102,0.218288
1585,50,0.37394,0.368452,0.361773,0.346159
6542,650,0.335694,0.324052,0.310737,0.282336
3549,100,0.244976,0.238071,0.22974,0.209894
9332,150,0.279908,0.268052,0.257087,0.23874
488,950,0.126842,0.108795,0.0951016,0.0773977
7214,50,0.409516,0.393301,0.378216,0.350733
5018,50,0.395136,0.394303,0.391875,0.381735
8314,50,0.35417,0.329456,0.307994,0.273791
9257,2850,0.120655,0.107733,0.0984568,0.0875996
141,50,0.516273,0.508388,0.498885,0.476396
4595,50,0.256044,0.236545,0.21783,0.185397
5695,1500,0.127753,0.111173,0.0987309,0.0828224
4579,3200,0.186692,0.166171,0.149457,0.125803
7527,50,0.192275,0.181653,0.17151,0.154083
9321,100,0.392445,0.370351,0.349943,0.316111
239,650,0.140675,0.130515,0.122723,0.11153
5485,150,0.265262,0.249765,0.232835,0.199728
4188,50,0.268124,0.235675,0.208028,0.168755
7689,100,0.23704,0.221614,0.206346,0.178342
1027,50,0.527344,0.520508,0.514881,0.507388
9496,50,0.563612,0.555681,0.54801,0.534184
6090,100,0.398745,0.384675,0.369559,0.333805
4702,300,0.154345,0.133808,0.117527,0.095636
7879,300,0.254205,0.234461,0.216164,0.183785
4760,350,0.245333,0.230999,0.218468,0.195987
1146,5000,0.145734,0.134618,0.123712,0.104612
6960,50,0.349675,0.342374,0.337934,0.340808
351,3800,0.224509,0.219873,0.214002,0.199372
1525,2450,0.125865,0.116223,0.108096,0.0977554
9753,500,0.228829,0.213116,0.197496,0.167324
9619,550,0.186631,0.170037,0.156237,0.136147
9715,500,0.183961,0.161129,0.142306,0.113175
5717,100,0.390835,0.378757,0.366024,0.336511
2452,50,0.288847,0.274016,0.260113,0.236131
7907,50,0.370354,0.352971,0.337455,0.312709
2356,100,0.292001,0.274385,0.257479,0.223906
9868,50,0.67688,0.672745,0.667249,0.65274
8833,250,0.191556,0.171357,0.155088,0.133092
4525,50,0.236158,0.21816,0.202539,0.180307
4990,50,0.549152,0.54315,0.538834,0.535671
8237,50,0.296287,0.273513,0.251288,0.213155
9067,50,0.432713,0.408882,0.385111,0.34108
8468,50,0.334996,0.318059,0.301105,0.269193
1029,1350,0.154772,0.133062,0.115826,0.0925437
251,50,0.413311,0.399253,0.383898,0.351323
4733,50,0.358306,0.343302,0.326005,0.283122
4528,400,0.224706,0.205549,0.190282,0.170027
817,1800,0.131341,0.119587,0.108932,0.0910013
3074,5000,0.111579,0.107223,0.103551,0.100359
5494,50,0.300905,0.299911,0.295366,0.280136
102,1500,0.166803,0.150915,0.138523,0.12211
3267,50,0.578462,0.576406,0.571006,0.554184
4610,2550,0.15954,0.14548,0.13226,0.109834
4540,50,0.32119,0.294667,0.270866,0.231737
8958,300,0.158669,0.14536,0.13488,0.120154
3111,1500,0.117495,0.108708,0.101375,0.0898215
2860,4350,0.130674,0.123066,0.115138,0.0997991
5053,50,0.430498,0.417567,0.403399,0.372137
1616,50,0.390849,0.370817,0.351459,0.316516
6331,50,0.192679,0.183628,0.17724,0.169875
4979,750,0.196774,0.193173,0.188837,0.175525
6202,50,0.469356,0.475892,0.474735,0.457409
4511,400,0.133379,0.125732,0.118981,0.10541
3969,450,0.228883,0.215483,0.201482,0.174759
7737,50,0.420158,0.408771,0.39459,0.358735
6520,50,0.566598,0.562995,0.556768,0.540734
1147,700,0.147897,0.12967,0.115884,0.0969064
4533,100,0.225805,0.217346,0.206557,0.181607
2053,50,0.430793,0.41469,0.398109,0.36638
6722,50,0.314134,0.305823,0.295988,0.271133
9187,50,0.596085,0.59597,0.593351,0.580417
1853,50,0.466325,0.455926,0.446503,0.428719
236,100,0.189673,0.17341,0.158338,0.134342
1393,100,0.373466,0.369557,0.364281,0.351147
56,200,0.197543,0.172645,0.153644,0.128471
1552,150,0.158249,0.148354,0.139117,0.123598
497,50,0.256308,0.242557,0.22918,0.204522
8123,1450,0.109881,0.103455,0.0960744,0.0802655
3442,50,0.384241,0.38272,0.37915,0.36564
8752,1600,0.125728,0.112571,0.101754,0.0867848
2373,50,0.416542,0.39283,0.369699,0.328809
1315,50,0.401598,0.380724,0.361272,0.32459
1311,50,0.581563,0.576985,0.571919,0.560589
9689,5000,0.116771,0.113281,0.108154,0.0955581
8361,4400,0.190979,0.178596,0.167943,0.152391
1272,450,0.237252,0.220593,0.205703,0.182625
4831,200,0.305099,0.285902,0.269204,0.244198
9131,50,0.497786,0.493484,0.488551,0.47701
9526,5000,0.232277,0.234369,0.233116,0.224498
5825,600,0.119859,0.104482,0.091185,0.0706879
6981,50,0.514163,0.502889,0.490186,0.461994
4356,850,0.159178,0.150012,0.141083,0.125306
7639,600,0.172267,0.142535,0.120408,0.0938887
6069,50,0.488256,0.497669,0.503731,0.508133
9264,100,0.345895,0.330933,0.316286,0.28883
2496,50,0.629793,0.636707,0.637901,0.62871
9123,600,0.227955,0.210141,0.195017,0.171038
1940,300,0.250255,0.246186,0.242212,0.235016
7121,400,0.233425,0.224436,0.215222,0.197623
7809,150,0.203713,0.176379,0.152806,0.117834
868,50,0.360153,0.351101,0.341014,0.319721
9485,50,0.436515,0.43051,0.422214,0.401336
3366,2400,0.206981,0.191827,0.178273,0.157405
3421,450,0.219892,0.197106,0.17773,0.147929
2164,50,0.494793,0.484888,0.47461,0.453848
5111,50,0.464648,0.451298,0.437481,0.410019
5951,50,0.349322,0.333451,0.318305,0.291206
9545,50,0.502242,0.491382,0.479271,0.453591
1952,150,0.325551,0.306666,0.288485,0.256957
5797,300,0.183591,0.165265,0.148932,0.122211
214,450,0.21137,0.209585,0.205221,0.191039
5112,50,0.471399,0.462055,0.451006,0.426639
3317,50,0.273266,0.241976,0.21684,0.180496
9433,3500,0.120851,0.106063,0.0929112,0.0714563
2868,100,0.348282,0.338643,0.327371,0.301923
719,200,0.189498,0.167532,0.149811,0.125656
5438,700,0.215699,0.204148,0.191578,0.165984
8827,1100,0.185853,0.167667,0.153603,0.134352
4599,1000,0.146739,0.143045,0.138897,0.129346
1364,100,0.30365,0.28032,0.259594,0.228295
2139,50,0.378184,0.367586,0.356583,0.333565
6623,800,0.166158,0.161568,0.156832,0.147207
3712,50,0.384852,0.376602,0.366778,0.34467
5323,600,0.227718,0.213169,0.199042,0.173407
4427,700,0.187926,0.1681,0.152797,0.134656
2156,400,0.168108,0.156652,0.146456,0.130317
7532,50,0.452915,0.440838,0.427149,0.397824
7399,50,0.570333,0.566693,0.561686,0.547748
5337,4150,0.124355,0.110001,0.097914,0.0806748
4657,2450,0.209987,0.204194,0.196435,0.176941
4498,200,0.291723,0.272876,0.256101,0.228465
1228,50,0.266405,0.253528,0.241237,0.219887
7453,450,0.194218,0.177321,0.16413,0.145217
3944,50,0.476055,0.47396,0.470295,0.459393
6457,250,0.284265,0.272934,0.262305,0.244349
3410,50,0.382139,0.363713,0.345884,0.3175
1674,250,0.2073,0.194612,0.182139,0.158572
4375,200,0.196709,0.182048,0.16899,0.14943
624,550,0.228027,0.219613,0.208524,0.182689
4683,50,0.370102,0.358542,0.345362,0.317242
4288,250,0.2159,0.197043,0.181133,0.157483
2413,500,0.115532,0.104958,0.0957728,0.0814094
7135,100,0.230084,0.218061,0.206866,0.187689
6654,50,0.34724,0.328538,0.311219,0.282762
2845,50,0.305611,0.289016,0.272871,0.244351
6837,50,0.504598,0.498417,0.489913,0.469193
366,800,0.262301,0.270019,0.273338,0.270734
779,1600,0.190857,0.193108,0.19148,0.180118
6708,1400,0.196646,0.184174,0.172714,0.152789
6604,50,0.401255,0.401237,0.399066,0.389923
9999,100,0.241995,0.220299,0.201514,0.171975
165,50,0.38079,0.372228,0.361072,0.334765
5370,4400,0.278487,0.269414,0.259159,0.236752
6767,50,0.381795,0.36589,0.349285,0.311708
1836,50,0.604817,0.598421,0.590798,0.572249
9104,950,0.161235,0.143285,0.127938,0.104558
1409,50,0.541455,0.528994,0.514109,0.47943
5904,50,0.469746,0.463154,0.456362,0.44255
1994,200,0.258374,0.245797,0.233477,0.210827
120,50,0.469509,0.45617,0.44405,0.424075
136,50,0.385042,0.377126,0.368004,0.346961
892,3200,0.289843,0.288988,0.283721,0.264912
9616,5000,0.269737,0.260434,0.251706,0.237414
2073,300,0.22431,0.201664,0.181974,0.151786
7449,3600,0.123988,0.111891,0.10196,0.08634
5048,50,0.429997,0.425366,0.417518,0.38905
9596,50,0.34476,0.338416,0.331097,0.315877
3800,50,0.380419,0.364859,0.347833,0.306414
4162,150,0.219755,0.197249,0.179001,0.149475
6307,250,0.347071,0.339866,0.332649,0.318124
3322,200,0.33501,0.32768,0.317435,0.292013
1250,950,0.19088,0.180156,0.16993,0.152197
8026,200,0.188363,0.168148,0.151906,0.130021
587,100,0.331189,0.314316,0.29703,0.261919
2968,50,0.615788,0.611435,0.603111,0.577928
2547,50,0.332917,0.320966,0.306841,0.276525
3778,50,0.361249,0.351715,0.342226,0.321481
7027,50,0.708693,0.710721,0.711331,0.709894
4235,50,0.462952,0.455331,0.446552,0.423422
2572,100,0.348386,0.327778,0.307727,0.272043
5573,1600,0.118794,0.0985298,0.0831863,0.0638508
4502,1000,0.254994,0.236202,0.218705,0.189005
4232,50,0.343275,0.335847,0.32822,0.312635
8244,50,0.568046,0.56617,0.561956,0.547446
3848,150,0.23998,0.224913,0.210369,0.183476
4582,50,0.331866,0.337536,0.342076,0.349847
234,1050,0.218326,0.200253,0.184673,0.160322
8662,50,0.38646,0.387141,0.386192,0.381826
9669,50,0.377764,0.378965,0.377162,0.366455
7118,50,0.503726,0.497445,0.49132,0.483246
4297,50,0.429819,0.409511,0.389664,0.352698
7042,50,0.32711,0.29982,0.27631,0.241819
3288,1250,0.218977,0.208706,0.1972,0.153714
323,1050,0.212284,0.198605,0.185714,0.163996
1277,50,0.460646,0.46118,0.458972,0.447167
8679,50,0.398626,0.388219,0.376029,0.348612
271,850,0.239331,0.217232,0.197554,0.165876
9444,50,0.423918,0.420138,0.412251,0.389889
62,1300,0.130432,0.114843,0.102956,0.087646
7441,800,0.147338,0.13573,0.126262,0.111911
7421,2500,0.136895,0.113559,0.0949546,0.0699544
8438,5000,0.302648,0.301166,0.29606,0.280225
3614,950,0.152541,0.130609,0.115779,0.10039
7596,1800,0.150048,0.134306,0.121816,0.105323
792,50,0.406721,0.399211,0.390896,0.37293
401,50,0.488233,0.483041,0.477029,0.462817
2343,50,0.325266,0.328092,0.326421,0.313766
5192,100,0.415323,0.401744,0.388475,0.360683
356,50,0.570056,0.563599,0.554304,0.527155
118,50,0.616787,0.611467,0.605249,0.59049
4290,300,0.141083,0.122933,0.108738,0.0900185
9642,50,0.294248,0.28101,0.26637,0.236021
9639,50,0.53371,0.528789,0.521659,0.503608
831,4800,0.148216,0.138563,0.128375,0.108609
9756,50,0.336727,0.310363,0.287589,0.253965
7084,1300,0.162693,0.147888,0.137019,0.123155
1507,200,0.121644,0.10881,0.0979987,0.0825181
3962,800,0.169392,0.161187,0.152838,0.136252
9213,1250,0.211947,0.205483,0.197569,0.178443
3633,1150,0.180573,0.161982,0.145208,0.118697
1802,2050,0.19028,0.182707,0.174951,0.160359
3884,50,0.238289,0.231072,0.22387,0.205995
3280,50,0.36596,0.358675,0.349716,0.327258
8505,200,0.293751,0.284488,0.275457,0.259113
8756,3350,0.123656,0.102096,0.0845425,0.0606572
2294,1950,0.16614,0.152556,0.139503,0.11738
8849,5000,0.126259,0.116925,0.108659,0.0945768
6040,50,0.369666,0.346769,0.323669,0.281651
4286,50,0.411658,0.398091,0.384995,0.360456
8234,150,0.226388,0.205017,0.185612,0.155206
5912,200,0.281617,0.26347,0.249002,0.227561
9033,5000,0.123589,0.117687,0.110264,0.0938796
5967,50,0.363403,0.371274,0.373154,0.36483
586,50,0.361017,0.363907,0.362063,0.347863
1048,500,0.267446,0.251424,0.235072,0.203178
1428,50,0.324541,0.300898,0.278212,0.240553
8801,250,0.242758,0.224307,0.208111,0.181321
2771,50,0.222342,0.207558,0.192235,0.161158
197,50,0.552805,0.557701,0.561265,0.563838
7022,400,0.232405,0.22544,0.217526,0.201097
3100,750,0.200576,0.187338,0.174973,0.153172
725,150,0.306766,0.290147,0.274305,0.245502
4355,50,0.68447,0.682082,0.678744,0.669856
3325,50,0.653837,0.653036,0.650548,0.641767
9651,50,0.302728,0.291316,0.280268,0.259955
1499,450,0.121344,0.111077,0.102885,0.0911122
8010,350,0.193544,0.175853,0.161473,0.140106
8809,2800,0.387764,0.388139,0.387187,0.384684
2820,250,0.222651,0.206039,0.191014,0.165442
8455,50,0.484602,0.479482,0.473371,0.459682
9823,150,0.205017,0.193314,0.181859,0.160033
6619,50,0.765381,0.765613,0.762968,0.752507
5788,50,0.270127,0.238413,0.209605,0.162893
6677,50,0.531015,0.520932,0.50971,0.48507
515,50,0.325853,0.310675,0.295709,0.269149
6718,550,0.252233,0.228789,0.208267,0.174511
5804,100,0.320394,0.303952,0.288038,0.256938
3494,100,0.424843,0.409388,0.393702,0.363846
2023,50,0.356975,0.351106,0.342335,0.319163
1293,1150,0.154404,0.144683,0.136141,0.121189
2162,1500,0.291799,0.28405,0.275485,0.254874
4707,950,0.164309,0.153473,0.144113,0.130196
3559,50,0.313343,0.310154,0.303126,0.281444
7760,50,0.270174,0.256736,0.243727,0.219086
2584,50,0.62559,0.624712,0.621517,0.610324
4418,650,0.211532,0.194553,0.180277,0.160094
375,100,0.483791,0.472348,0.461407,0.441188
3601,50,0.430285,0.424711,0.418205,0.403514
7910,100,0.420021,0.413851,0.406856,0.393053
6528,700,0.16493,0.155818,0.147531,0.13342
1528,50,0.438235,0.437805,0.43752,0.43719
8511,100,0.353841,0.344419,0.334828,0.317538
4008,450,0.171371,0.154949,0.141159,0.120577
9255,250,0.223633,0.205513,0.188773,0.15742
5987,50,0.39001,0.373464,0.355277,0.317191
8965,50,0.596835,0.588956,0.579817,0.559691
2939,2350,0.202983,0.203952,0.202517,0.193463
6183,400,0.204252,0.201242,0.196534,0.184528
4523,2250,0.124604,0.108419,0.0950178,0.075019
5796,150,0.447913,0.435921,0.423509,0.398902
7265,300,0.148095,0.134841,0.123783,0.107284
8240,50,0.235021,0.202881,0.176278,0.138839
1974,650,0.1541,0.141023,0.128992,0.108453
1543,50,0.432024,0.433777,0.430227,0.409407
7964,50,0.491011,0.498004,0.499198,0.491773
8493,250,0.164718,0.145448,0.129596,0.107093
3441,350,0.37304,0.359896,0.346808,0.322285
8177,2400,0.255374,0.242245,0.228053,0.199738
1697,50,0.289965,0.281654,0.271506,0.247639
8378,50,0.251118,0.239045,0.225488,0.198303
4019,50,0.577778,0.568884,0.558255,0.533368
5885,250,0.166146,0.145648,0.128358,0.10411
4802,100,0.346075,0.340712,0.332598,0.311034
1316,200,0.219709,0.213465,0.206316,0.189672
9534,550,0.17733,0.165807,0.154346,0.132919
9582,50,0.545891,0.543643,0.539994,0.529032
7911,50,0.255327,0.2454,0.234329,0.210924
2340,250,0.204073,0.196325,0.188522,0.17371
5418,350,0.273598,0.252623,0.233412,0.201314
5755,50,0.226157,0.203891,0.184386,0.152772
6274,50,0.275069,0.267435,0.259273,0.242805
4416,200,0.266523,0.260754,0.254212,0.238543
636,50,0.336474,0.351307,0.365511,0.389584
8554,1200,0.259621,0.255744,0.24977,0.234475
2611,400,0.16384,0.144997,0.127817,0.100826
7952,5000,0.148567,0.13722,0.127584,0.113366
617,150,0.287073,0.277988,0.26934,0.253167
3469,1200,0.18535,0.182478,0.178263,0.167684
9432,50,0.306532,0.285718,0.266288,0.230747
9859,50,0.424633,0.403089,0.380619,0.331595
7094,2800,0.20064,0.193926,0.186532,0.17194
4070,1400,0.154332,0.145849,0.136648,0.118256
3911,1300,0.164126,0.142286,0.124686,0.100643
6696,50,0.412102,0.40233,0.391849,0.370029
4994,650,0.124223,0.117034,0.110165,0.097302
3303,50,0.438028,0.429253,0.419898,0.399916
8818,2000,0.114625,0.105849,0.0993042,0.0889657
6173,750,0.176084,0.172269,0.167094,0.154233
6694,50,0.417372,0.410627,0.403597,0.389315
4403,850,0.168232,0.143709,0.123905,0.0966259
8227,2200,0.126814,0.121013,0.115549,0.106037
8233,250,0.175909,0.163391,0.153635,0.142277
2862,50,0.359394,0.362922,0.362635,0.35291
5608,750,0.189533,0.174908,0.163111,0.146724
2198,1550,0.115258,0.109204,0.103703,0.094605
4302,100,0.252234,0.242954,0.231987,0.204948
6870,4600,0.122538,0.111594,0.102232,0.0869923
1995,2650,0.164376,0.147646,0.133118,0.112309
8513,50,0.441926,0.426461,0.410629,0.379055
8551,200,0.304474,0.284354,0.266967,0.239191
7731,50,0.617352,0.61483,0.610972,0.599839
8105,850,0.210521,0.198674,0.186207,0.162406
2009,50,0.46824,0.459811,0.451894,0.437769
8245,50,0.367919,0.36418,0.358587,0.343844
5478,500,0.21307,0.206662,0.199176,0.183219
3887,500,0.208565,0.209231,0.207104,0.197343
9658,450,0.301165,0.28169,0.264114,0.235497
5821,50,0.403859,0.389126,0.373473,0.342549
6901,150,0.324218,0.304527,0.284762,0.243914
2713,50,0.33617,0.314401,0.290571,0.22993
8156,50,0.541934,0.530649,0.518382,0.493536
2178,850,0.233784,0.222897,0.211744,0.189584
9819,250,0.209851,0.192124,0.175525,0.148342
4261,750,0.150869,0.138286,0.127479,0.110851
1706,400,0.251697,0.240431,0.229859,0.209432
6505,200,0.273924,0.263323,0.25202,0.229395
8782,50,0.336554,0.317608,0.29886,0.263366
9337,50,0.572101,0.575014,0.576774,0.576843
4295,100,0.398908,0.384887,0.370774,0.34123
9891,100,0.265386,0.252841,0.239683,0.214891
7052,50,0.441358,0.439854,0.434751,0.417869
9053,250,0.147556,0.132371,0.119379,0.0993765
3094,50,0.379694,0.36066,0.342038,0.307448
2590,300,0.17674,0.175656,0.17297,0.164033
2305,500,0.184674,0.173513,0.163156,0.145695
4804,50,0.588218,0.585561,0.58188,0.57495
8722,200,0.263054,0.246517,0.232609,0.211417
5520,250,0.257532,0.243915,0.229992,0.202575
4551,50,0.471511,0.462607,0.454275,0.439662
6229,50,0.309253,0.296874,0.283092,0.254625
3789,50,0.516401,0.504006,0.490072,0.460945
8684,1600,0.176489,0.161685,0.148601,0.128287
1457,1800,0.209597,0.177671,0.151289,0.115896
3838,350,0.144557,0.125305,0.109191,0.0852745
9195,1500,0.117507,0.115282,0.113321,0.109938
132,100,0.230981,0.21083,0.191808,0.160082
1118,100,0.373239,0.369813,0.3658,0.357756
2235,50,0.270237,0.262607,0.254685,0.238651
4916,1300,0.148076,0.134585,0.122918,0.10538
5995,250,0.348616,0.341466,0.333278,0.315294
1590,900,0.214157,0.201817,0.189386,0.166681
1596,50,0.271682,0.250628,0.231791,0.201693
6548,50,0.546711,0.542334,0.536966,0.524655
3396,50,0.559926,0.548129,0.534543,0.503556
5791,50,0.354846,0.333058,0.313946,0.283636
5574,100,0.263671,0.256311,0.247362,0.227629
