query_idx,ef_true,RV_unw,RV_rank_5,RV_rank_10
8791,50,0.240223,0.527848,0.658052
2782,300,0.14003,0.337511,0.440145
1279,300,0.214558,0.471759,0.591192
6442,400,0.10011,0.268268,0.377292
1447,50,0.177973,0.424946,0.554677
2872,50,0.171429,0.409095,0.53394
6269,50,0.189112,0.433301,0.552808
7302,350,0.75841,0.893673,0.903846
9793,50,0.454793,0.742226,0.815351
5191,200,0.171959,0.373991,0.474534
4608,50,0.429848,0.716786,0.803736
1999,50,0.186695,0.417577,0.531235
1023,50,0.290283,0.556262,0.654688
9225,250,0.121268,0.32124,0.440017
2391,100,0.165764,0.397439,0.521313
1874,100,0.198598,0.435111,0.545674
9114,350,0.129282,0.311909,0.414263
8238,50,0.205792,0.429402,0.537281
4265,50,0.30371,0.610528,0.730827
9495,150,0.154304,0.380941,0.502367
3682,150,0.118125,0.292524,0.396843
6974,100,0.225977,0.485222,0.601656
6453,150,0.198755,0.447672,0.565711
8476,50,0.236592,0.502162,0.61387
2309,150,0.200405,0.453405,0.577324
8263,50,0.376254,0.653299,0.745372
6020,50,0.499261,0.766911,0.836146
1216,50,0.383732,0.654093,0.748208
1012,50,0.418354,0.722607,0.803023
5012,50,0.416303,0.720497,0.807252
1339,150,0.266925,0.515398,0.608765
7181,50,0.333475,0.623235,0.728181
4233,50,0.207522,0.46412,0.588057
8649,100,0.355164,0.639271,0.736478
2926,100,0.145362,0.3713,0.494708
5022,350,0.107278,0.289936,0.4016
5286,100,0.228378,0.494664,0.610745
9916,150,0.145635,0.347541,0.461164
6785,50,0.280125,0.597207,0.730568
3300,50,0.245474,0.520111,0.640927
555,50,0.475207,0.75138,0.825511
3444,50,0.171021,0.41352,0.548518
315,200,0.199582,0.438147,0.548935
563,100,0.23675,0.509101,0.623309
9629,100,0.167832,0.395791,0.518711
9523,50,0.190168,0.422896,0.53681
6979,650,0.0841122,0.235242,0.336316
9468,200,0.162345,0.372892,0.490144
2544,150,0.163389,0.383817,0.503332
5333,50,0.26871,0.566869,0.690549
9877,50,0.450549,0.750406,0.834486
687,400,0.164883,0.399715,0.523712
7068,450,0.160906,0.3885,0.515037
2754,50,0.372652,0.672209,0.772087
8126,250,0.155272,0.367724,0.48544
8440,150,0.380535,0.67984,0.784328
4217,100,0.2,0.458206,0.581104
1925,50,0.318082,0.631479,0.752093
6106,50,0.649743,0.846755,0.888907
9166,250,0.142956,0.356437,0.474255
4397,200,0.147309,0.340263,0.448337
6060,100,0.295494,0.593901,0.708818
8971,200,0.244789,0.520954,0.643763
2060,100,0.146986,0.369182,0.490858
2565,50,0.391997,0.693039,0.790565
4522,100,0.166198,0.405705,0.521866
1573,50,0.332783,0.623764,0.726288
9555,800,0.142311,0.345939,0.457054
4524,100,0.167519,0.402512,0.523885
6186,50,0.189293,0.442515,0.57046
1509,50,0.551149,0.781706,0.840584
8049,200,0.116406,0.307018,0.427917
6896,50,0.232239,0.502349,0.625176
1771,300,0.138622,0.325934,0.424918
5379,50,0.210692,0.481963,0.612513
3401,50,0.385372,0.662386,0.753366
1347,650,0.116571,0.295765,0.405455
3745,150,0.122099,0.314437,0.429948
2556,300,0.144448,0.356407,0.478715
3254,50,0.182867,0.419547,0.538233
5042,50,0.451698,0.734299,0.818735
4724,150,0.185541,0.426334,0.545484
9449,50,0.377311,0.682966,0.782609
9115,150,0.178082,0.404973,0.522908
938,50,0.213247,0.497366,0.638988
8623,100,0.209642,0.464582,0.589341
5933,50,0.278623,0.534078,0.635962
2137,50,0.343154,0.644225,0.752884
273,50,0.261131,0.54643,0.673968
7782,100,0.19301,0.438584,0.557549
503,50,0.397873,0.692296,0.783963
872,50,0.444995,0.729333,0.813704
9059,100,0.281035,0.55987,0.675367
4510,400,0.17093,0.419323,0.554634
1585,50,0.395541,0.691275,0.788178
6542,100,0.253403,0.513269,0.614453
3549,400,0.197647,0.458594,0.594931
9332,50,0.254237,0.530722,0.648936
488,200,0.150818,0.363269,0.477741
7214,50,0.266744,0.559112,0.684498
5018,50,0.427966,0.705307,0.786472
8314,50,0.166727,0.393411,0.512245
9257,50,0.22393,0.48491,0.605131
141,50,0.205109,0.465606,0.589788
4595,50,0.498704,0.753874,0.827386
5695,200,0.210151,0.467232,0.585727
4579,50,0.217227,0.468872,0.599364
7527,50,0.443236,0.741809,0.83114
9321,50,0.679577,0.83734,0.858999
239,50,0.369177,0.662841,0.760208
5485,50,0.248044,0.552213,0.686995
4188,900,0.111374,0.271571,0.374939
7689,100,0.174929,0.421804,0.549838
1027,50,0.258218,0.530873,0.646825
9496,100,0.177289,0.420807,0.54815
6090,100,0.100669,0.291901,0.414517
4702,300,0.15036,0.357121,0.470413
7879,200,0.169434,0.398287,0.518134
4760,50,0.133231,0.340191,0.46336
1146,1200,0.0835975,0.242134,0.354761
6960,1200,0.0880829,0.2487,0.36359
351,50,0.247126,0.513071,0.631251
1525,1550,0.117772,0.305842,0.419328
9753,50,0.353225,0.631438,0.732145
9619,1000,0.140074,0.357218,0.476275
9715,100,0.166781,0.409037,0.538552
5717,100,0.409473,0.665323,0.745624
2452,100,0.341273,0.609667,0.702226
7907,50,0.356038,0.633631,0.7311
2356,800,0.18502,0.39408,0.486743
9868,50,0.21289,0.47698,0.602343
8833,100,0.172104,0.38612,0.496378
4525,100,0.235757,0.502539,0.61972
4990,50,0.339072,0.636279,0.731588
8237,200,0.138805,0.355073,0.480628
9067,100,0.453003,0.737342,0.820308
8468,50,0.259619,0.569395,0.699553
1029,50,0.281761,0.567177,0.683443
251,50,0.288149,0.584779,0.702836
4733,350,0.11703,0.294136,0.394641
4528,150,0.172956,0.38548,0.480911
817,50,0.330413,0.602691,0.699763
3074,50,0.323064,0.623201,0.734151
5494,100,0.291282,0.581007,0.689896
102,50,0.345478,0.652379,0.750751
3267,100,0.185099,0.423065,0.538396
4610,50,0.36348,0.647976,0.745473
4540,50,0.219683,0.47531,0.590808
8958,250,0.15657,0.362656,0.475872
3111,50,0.197596,0.432312,0.546339
2860,100,0.235198,0.492757,0.603784
5053,150,0.137647,0.339752,0.462153
1616,50,0.345002,0.674443,0.798629
6331,700,0.106066,0.26934,0.368311
4979,200,0.190405,0.437737,0.556673
6202,450,0.16587,0.388649,0.509252
4511,150,0.1977,0.441855,0.557185
3969,50,0.402639,0.708017,0.807107
7737,100,0.130278,0.336179,0.455108
6520,50,0.259196,0.534244,0.650361
1147,50,0.239967,0.499913,0.616095
4533,100,0.197437,0.4559,0.588535
2053,400,0.139509,0.348726,0.468457
6722,100,0.154785,0.372246,0.4882
9187,350,0.123083,0.302866,0.411927
1853,150,0.132201,0.335728,0.456662
236,50,0.171452,0.444126,0.596461
1393,50,0.351777,0.642095,0.746905
56,50,0.476782,0.775642,0.858554
