query_idx,ef_true,MR_gauss_5,MR_log
3441,350,0.46118,0.306184
8177,2400,0.332995,0.254184
1697,50,0.599758,0.501757
8378,50,0.400407,0.420946
4019,50,0.698254,0.55087
5885,250,0.221817,0.20727
4802,100,0.45081,0.315805
1316,200,0.309011,0.29803
9534,550,0.244715,0.198443
9582,50,0.658263,0.617452
7911,50,0.363063,0.306832
2340,250,0.28204,0.255573
5418,350,0.337712,0.220593
5755,50,0.299295,0.209741
6274,50,0.373381,0.302452
4416,200,0.348471,0.25532
636,50,0.626498,0.563178
8554,1200,0.340366,0.292909
2611,400,0.214619,0.187577
7952,5000,0.200762,0.202118
617,150,0.363472,0.225405
3469,1200,0.258958,0.25404
9432,50,0.384428,0.358303
9859,50,0.528452,0.498119
7094,2800,0.281256,0.246393
4070,1400,0.207736,0.227129
3911,1300,0.223842,0.263613
6696,50,0.53764,0.442022
4994,650,0.180994,0.255293
3303,50,0.573758,0.455985
8818,2000,0.180912,0.283899
6173,750,0.270902,0.278733
6694,50,0.487611,0.366493
4403,850,0.225024,0.230849
8227,2200,0.195464,0.238566
8233,250,0.221634,0.227226
2862,50,0.480545,0.439659
5608,750,0.251896,0.23966
2198,1550,0.226019,0.264602
4302,100,0.317526,0.213714
6870,4600,0.180114,0.188934
1995,2650,0.22131,0.217388
8513,50,0.554241,0.410683
8551,200,0.413498,0.351504
7731,50,0.732273,0.700178
8105,850,0.298869,0.32512
2009,50,0.60368,0.452861
8245,50,0.51705,0.410635
5478,500,0.293267,0.243806
3887,500,0.282408,0.276192
9658,450,0.367525,0.279763
5821,50,0.532171,0.454422
6901,150,0.384983,0.264212
2713,50,0.384363,0.19623
8156,50,0.650246,0.600214
2178,850,0.301415,0.194211
9819,250,0.292788,0.271595
4261,750,0.208522,0.201596
1706,400,0.330835,0.230658
6505,200,0.360879,0.291647
8782,50,0.47965,0.464283
9337,50,0.749105,0.710588
4295,100,0.463966,0.371273
9891,100,0.360126,0.291229
7052,50,0.587708,0.459302
9053,250,0.206036,0.222956
3094,50,0.468126,0.342096
2590,300,0.241816,0.195316
2305,500,0.250901,0.251681
4804,50,0.700106,0.488118
8722,200,0.361391,0.328911
5520,250,0.321544,0.239467
4551,50,0.613432,0.48728
6229,50,0.411481,0.283442
3789,50,0.639422,0.555505
8684,1600,0.236792,0.239184
1457,1800,0.276842,0.219734
3838,350,0.204443,0.218097
9195,1500,0.186773,0.222463
132,100,0.341235,0.305207
1118,100,0.512582,0.488688
2235,50,0.363176,0.283546
4916,1300,0.20097,0.20426
5995,250,0.431242,0.321931
1590,900,0.278568,0.234507
1596,50,0.332081,0.230292
6548,50,0.642858,0.495044
3396,50,0.656638,0.544913
5791,50,0.455502,0.492121
5574,100,0.365128,0.313241
5137,3800,0.202897,0.231081
4967,900,0.207331,0.205633
1862,650,0.149201,0.210801
5487,2100,0.128557,0.183958
9163,150,0.375596,0.391505
1097,450,0.329813,0.243882
9567,3300,0.315716,0.258896
830,50,0.476634,0.445126
3986,50,0.676832,0.610059
9771,50,0.490376,0.388949
6350,650,0.263751,0.233592
8824,50,0.564946,0.626605
2286,100,0.393398,0.340144
3990,50,0.447565,0.436345
1407,100,0.357918,0.246333
2078,300,0.21396,0.21078
5237,150,0.357382,0.344917
9058,350,0.242464,0.288264
4200,1250,0.195328,0.190017
331,1350,0.239011,0.207174
6537,2200,0.301939,0.226659
9792,100,0.451583,0.356768
5557,50,0.701774,0.615864
5082,50,0.56409,0.37956
1200,100,0.389148,0.338542
7343,5000,0.263795,0.274974
5539,1350,0.20766,0.267364
2450,1250,0.255665,0.220814
1797,50,0.614178,0.480882
3535,50,0.419843,0.222869
1869,5000,0.253834,0.216025
3609,50,0.50535,0.328398
5218,3750,0.336455,0.214287
7155,100,0.36995,0.327973
3721,150,0.433541,0.383354
6192,850,0.247424,0.260272
6034,3600,0.197863,0.230209
3731,5000,0.167413,0.219421
1921,100,0.468661,0.384831
2624,50,0.590645,0.452957
3554,50,0.443395,0.291024
1108,50,0.489747,0.410655
3228,50,0.730403,0.443838
2994,50,0.400387,0.312726
987,5000,0.168215,0.195898
5988,50,0.768682,0.56574
726,50,0.65369,0.574635
6559,100,0.450123,0.289184
1721,50,0.508168,0.34065
343,300,0.438746,0.375672
9212,250,0.212118,0.236862
2088,350,0.293418,0.305349
3555,250,0.333461,0.236715
5354,50,0.408271,0.33111
7060,100,0.340056,0.334007
1410,2350,0.201385,0.27144
8926,50,0.390046,0.266607
8265,100,0.394112,0.295261
2838,200,0.274218,0.225194
1443,250,0.332241,0.255897
6674,1850,0.270074,0.233179
5776,200,0.359691,0.267446
5649,50,0.601808,0.512542
6671,50,0.49007,0.275683
