query_id,score,recall
438,65.2253,0.84
439,52.0379,0.28
440,83.1403,1
441,60.176,0.78
442,73.7299,0.7
443,63.1961,0.66
444,78.1383,0.98
445,60.1326,0.92
446,35.9493,0.46
447,52.0484,0.34
448,52.9042,0.38
449,49.6612,0.26
450,55.5433,0.26
451,51.3678,0.42
452,79.6063,0.84
453,56.671,0.86
454,53.4506,0.4
455,65.8158,0.64
456,48.6665,0.48
457,44.3869,0
458,79.1964,0.72
459,56.9692,0.68
460,52.8359,0.86
461,59.3357,0.4
462,47.1406,0.08
463,43.0118,0.2
464,64.9022,0.82
465,86.2091,0.98
466,53.0893,0.08
467,75.6381,0.82
468,81.3413,0.86
469,75.3289,1
470,53.2983,0.3
471,53.507,0.46
472,48.5879,0.26
473,57.0949,0.46
474,58.4652,0.72
475,44.1979,0.42
476,58.4031,0.46
477,86.9652,1
478,51.4407,0.48
479,46.027,0.28
480,43.0388,0.38
481,71.6038,0.94
482,53.4961,0.2
483,55.1764,0.56
484,82.3433,0.98
485,57.1829,0.28
486,78.2734,0.96
487,78.8963,0.96
488,53.362,0.18
489,83.8365,1
490,80.3687,1
491,73.1534,0.52
492,49.1355,0.16
493,77.0919,0.96
494,68.0368,0.68
495,54.5154,0.24
496,73.3679,0.92
497,58.3094,0.78
498,72.3314,0.32
499,66.0169,0.54
500,67.6862,0.94
501,72.1932,0.82
502,49.5974,0.88
503,78.8743,0.62
504,79.6473,0.94
505,50.7134,0.14
506,63.0689,0.32
507,40.7246,0.24
508,68.1952,0.54
509,58.4424,0.18
510,58.4354,0.48
511,37.2414,0.44
512,78.9316,0.88
513,75.7523,0.82
514,83.7732,1
515,73.4325,0.84
516,54.1092,0.6
517,56.2341,0.68
518,48.1331,0.26
519,57.3342,0.9
520,47.6104,0.22
521,74.5436,1
522,76.6438,0.98
523,47.9289,0.72
524,67.1114,0.9
525,64.4103,0.76
526,81.3754,0.92
527,64.7812,0.68
528,86.2349,1
529,52.6051,0.46
530,75.7322,0.8
531,59.6214,0.68
532,58.4977,0.42
533,48.7155,0.08
534,85.072,0.94
535,81.4678,0.9
536,74.5102,0.96
537,77.8863,0.92
538,70.485,0.84
539,65.4936,0.86
540,83.1222,1
541,52.2439,0.4
542,64.9539,0.62
543,43.9842,0.4
544,72.8337,0.54
545,41.8121,0.6
546,56.3964,0.56
547,72.3792,0.88
548,76.4759,1
549,58.7219,0.48
550,44.6352,0.14
551,83.7445,0.98
552,52.1158,0.3
553,54.4694,0.16
554,72.6819,0.96
555,77.1259,0.98
556,55.8048,0.52
557,53.226,0.42
558,60.1591,0.8
559,50.8092,0.52
560,58.1859,0.64
561,77.4732,0.9
562,69.9513,0.78
563,60.4094,0.74
564,63.4885,0.88
565,77.9226,0.94
566,54.6609,0.58
567,80.1057,0.9
568,55.0509,0.54
569,63.0885,0.78
570,64.177,0.66
571,86.8603,1
572,76.091,0.84
573,80.9519,0.9
574,68.7883,0.92
575,42.0362,0.1
576,59.4651,0.48
577,80.8747,0.98
578,40.7636,0.36
579,66.6544,0.56
580,80.5268,0.94
581,56.7474,0.18
582,69.5153,0.98
583,67.8924,0.84
584,67.4876,0.84
585,64.6984,0.8
586,76.8565,0.82
587,69.3547,0.74
588,80.882,0.96
589,84.4812,0.96
590,51.3117,0.14
591,44.9688,0.58
592,54.4723,0.66
593,75.5726,0.72
594,48.7109,0.18
595,79.7953,1
596,52.4661,0.46
597,52.4875,0.56
598,78.6239,0.92
599,79.0992,0.92
600,45.415,0.24
601,49.2586,0.22
602,67.7603,0.86
603,56.1577,0.48
604,68.8342,0.82
605,60.6338,0.02
606,51.2126,0.5
607,65.7437,0.94
608,46.6385,0.22
609,64.114,0.34
610,76.374,1
611,58.9049,0.54
612,43.4013,0.48
613,65.1635,0.9
614,71.8448,0.82
615,49.4706,0.58
616,46.2567,0.72
617,60.7835,0.76
618,60.9518,0.56
619,71.3291,0.78
620,51.6181,0.12
621,59.6657,0.6
622,72.0311,0.84
623,80.0684,1
624,60.0819,0.56
625,78.4587,0.98
626,31.9079,0.5
627,77.809,0.98
628,54.9719,0.64
629,84.5752,0.72
630,71.8973,0.86
631,43.903,0.24
632,71.9875,0.52
633,75.8678,0.92
634,79.8598,0.58
635,63.4522,0.88
636,69.1093,0.88
637,82.9378,0.98
638,57.377,0.22
639,57.2524,0.36
640,46.7399,0.2
641,69.5217,0.9
642,68.5213,0.96
643,75.1464,0.88
644,46.6879,0.34
645,89.6144,0.96
646,64.7327,0.68
647,75.3164,0.96
648,54.8084,0.3
649,79.3033,1
650,78.5347,0.58
651,54.4315,0.2
652,85.6581,0.94
653,71.1554,0.78
654,88.1486,0.9
655,72.3575,0.94
656,65.1455,0.3
657,74.6158,0.96
658,87.537,1
659,55.2624,0.62
660,73.5599,0.78
661,59.6012,0.68
662,52.7769,0.62
663,44.0055,0.12
664,49.4934,0.4
665,69.0092,0.84
666,82.5678,0.92
667,45.7606,0.3
668,64.6083,0.68
669,87.4498,0.94
670,60.3151,0.46
671,60.8621,0.38
672,68.6113,0.48
673,74.1833,0.82
674,60.306,0.62
675,54.8133,0.08
676,54.33,0.36
677,62.6935,0.12
678,75.8122,0.82
679,84.0296,0.94
680,60.756,0.22
681,58.7901,0.44
682,52.0703,0.62
683,41.7081,0.02
684,58.9876,0.38
685,54.2201,0.72
686,76.2833,0.8
687,70.3365,0.96
688,83.0999,1
689,28.5027,0.9
690,75.6625,0.92
691,60.4836,0.86
692,58.8131,0.38
693,87.6635,1
694,55.4431,0.76
695,82.2326,0.92
696,57.5593,0.24
697,73.1432,0.94
698,71.9172,0.6
699,39.5777,0.92
700,57.3375,0.56
701,51.9651,0.58
702,49.6961,0.36
703,67.668,0.76
704,70.3518,0.94
705,38.9937,0.16
706,50.6516,0.78
707,71.06,0.92
708,69.4852,0.9
709,51.573,0.56
710,68.3411,0.8
711,50.015,0.26
712,77.349,0.98
713,42.589,0.94
714,78.5502,0.96
715,75.5922,0.8
716,45.4273,0.7
717,72.0515,0.92
718,56.1026,0.68
719,51.8574,0.44
720,81.7938,0.96
721,54.4137,0.12
722,41.0062,0.48
723,50.0314,0.44
724,57.6633,0.54
725,80.8138,0.72
726,74.7922,0.98
727,77.7502,0.92
728,54.4483,0.64
729,85.4381,1
730,56.5843,0.4
731,76.0706,0.82
732,76.3411,0.98
733,69.0197,0.56
734,85.4717,0.92
735,69.4084,0.8
736,59.8788,0.64
737,66.59,0.88
738,76.02,0.8
739,74.2156,0.94
740,70.9278,0.62
741,71.4956,0.68
742,83.6182,0.98
743,57.5733,0.26
744,52.8621,0.66
745,55.1746,0.68
746,78.0556,0.92
747,81.358,1
748,73.0917,0.66
749,80.3535,1
750,66.4401,0.94
751,49.1023,0.92
752,72.2727,0.82
753,72.762,0.74
754,45.9436,0.6
755,60.8654,0.68
756,57.2086,0.2
757,40.707,0.24
758,49.3574,0.56
759,59.5638,0.7
760,84.3536,1
761,68.163,0.26
762,52.7208,0.64
763,86.6453,0.98
764,52.4363,0.48
765,42.9135,0.2
766,56.8721,0.56
767,76.4135,0.86
768,86.382,1
769,44.1231,0.42
770,74.2263,1
771,38.057,0.76
772,50.0905,0.52
773,52.9682,0.16
774,46.4497,0.1
775,58.3758,0.42
776,63.9162,0.74
777,56.1566,0.12
778,66.2909,0.84
779,57.6281,0.4
780,64.567,0.62
781,65.7314,0.66
782,68.0067,0.72
783,46.9757,0.52
784,42.3215,0.28
785,40.5671,0.36
786,50.6886,0.22
787,63.8346,0.86
788,64.5411,0.94
789,69.6277,0.88
790,44.7855,0.3
791,83.1417,0.98
792,76.082,1
793,49.4292,0.86
794,48.7655,0.66
795,56.1657,0.4
796,57.18,0.92
797,64.2001,0.32
798,78.7077,0.92
799,72.5792,0.84
800,41.3462,0.28
801,84.1317,1
802,61.4882,0.8
