query_idx,ef_true,MR_raw_gauss,MR_univ_gauss
3276,2850,0.262994,0.35063
7297,50,0.533746,0.529097
9944,1800,0.279299,0.303317
1811,300,0.199001,0.366455
6721,50,0.503291,0.364396
2597,2150,0.209068,0.397359
7806,100,0.481802,0.593052
4364,500,0.363202,0.375315
9900,300,0.302401,0.351657
8356,1100,0.337109,0.33386
7370,350,0.257565,0.334336
9155,50,0.695853,0.576153
6880,800,0.156949,0.370202
4226,700,0.265031,0.457281
7321,150,0.327713,0.342095
7386,400,0.283331,0.3137
2419,50,0.546356,0.326501
3811,550,0.23843,0.316002
3058,1350,0.180372,0.246432
9327,100,0.41848,0.395012
450,5000,0.218949,0.22955
7011,550,0.332878,0.279866
5100,150,0.24081,0.322031
4957,1200,0.202575,0.311353
2918,50,0.495208,0.456866
4002,50,0.453947,0.398163
3038,550,0.355521,0.399951
7778,150,0.216667,0.325257
8841,100,0.510127,0.482532
8028,50,0.443486,0.452343
4052,50,0.760496,0.770304
2285,1250,0.369347,0.318727
8209,100,0.366792,0.428067
2501,100,0.300994,0.296528
1396,150,0.351308,0.284551
979,950,0.26644,0.303755
8575,100,0.310455,0.406452
6393,50,0.503453,0.405921
5924,100,0.480767,0.473488
9955,250,0.325618,0.509683
168,2650,0.190353,0.342312
5488,1200,0.218,0.344545
9613,50,0.640738,0.585726
9305,250,0.318047,0.287022
2625,50,0.376424,0.333799
4236,3150,0.199655,0.296376
9183,100,0.544683,0.376852
9650,3600,0.150254,0.245998
4076,300,0.297262,0.314955
9242,300,0.456576,0.518465
8386,50,0.325412,0.318244
3999,50,0.563793,0.31339
9412,50,0.37038,0.322855
8460,50,0.349793,0.35801
6219,50,0.420889,0.301352
1350,1550,0.177095,0.342
9381,50,0.567809,0.675218
3729,50,0.623926,0.537951
5230,50,0.719297,0.636882
8142,50,0.520617,0.384054
5536,2450,0.177379,0.332898
8757,50,0.412128,0.328837
360,300,0.301447,0.305965
753,50,0.356708,0.322554
709,400,0.241919,0.266424
4460,50,0.587443,0.447236
4198,1800,0.442309,0.459823
9347,250,0.338188,0.309809
8048,50,0.503564,0.480032
5243,350,0.28092,0.283798
5633,150,0.301357,0.302276
1791,900,0.202577,0.35883
5074,1150,0.305215,0.28455
8262,50,0.335837,0.272651
244,50,0.374724,0.33536
4101,50,0.479697,0.37148
5938,50,0.586266,0.385657
6207,450,0.184086,0.272665
7466,5000,0.187299,0.350141
3784,200,0.245273,0.217405
6105,50,0.570896,0.363527
2707,50,0.465412,0.563102
3558,100,0.530259,0.513495
1416,550,0.176949,0.273738
6796,300,0.378252,0.325257
2117,50,0.416996,0.449203
9590,1450,0.176941,0.244452
4984,600,0.294856,0.281228
1253,100,0.489794,0.429362
7564,50,0.589463,0.562475
577,50,0.674777,0.504203
9326,200,0.38862,0.377816
4855,100,0.488446,0.364309
9987,50,0.637749,0.709868
4499,450,0.286921,0.350798
2832,50,0.401599,0.355357
6514,50,0.615246,0.458243
380,50,0.77076,0.673115
561,50,0.475102,0.449629
7316,50,0.444575,0.520761
8787,100,0.373235,0.351154
6819,50,0.435238,0.549882
4344,50,0.390721,0.471843
6749,700,0.194181,0.30586
839,1900,0.289061,0.333789
4478,50,0.457778,0.399547
175,400,0.33232,0.355802
2362,50,0.730931,0.628198
1989,50,0.551852,0.600601
2134,250,0.276038,0.394516
6799,50,0.448499,0.524631
5935,50,0.328267,0.253229
8672,150,0.213462,0.268118
8795,50,0.675879,0.618581
7473,1500,0.187172,0.284641
815,2200,0.211495,0.314907
5999,150,0.392873,0.432992
4602,50,0.451453,0.500853
2814,100,0.37241,0.380345
2473,50,0.464074,0.43828
7464,1350,0.20375,0.347352
206,50,0.40788,0.36062
3713,2250,0.273226,0.212381
8616,900,0.224673,0.287415
4892,100,0.352821,0.428165
1367,100,0.492676,0.430581
8457,1200,0.211964,0.262003
4541,4800,0.190271,0.35594
4570,50,0.74229,0.568754
3753,1000,0.258164,0.240366
8962,100,0.524972,0.557218
7450,50,0.682272,0.592354
8004,100,0.323679,0.309098
6073,350,0.211524,0.307034
5219,200,0.482354,0.463593
1288,50,0.53525,0.351726
1343,100,0.334688,0.357415
9817,50,0.343831,0.458924
3717,50,0.317999,0.423029
6890,50,0.544175,0.341158
7200,50,0.628774,0.597999
5739,150,0.413524,0.460304
3620,50,0.584023,0.592718
7747,100,0.339588,0.297616
7703,200,0.413325,0.571865
9818,100,0.329259,0.467171
7340,4200,0.201164,0.328881
7270,750,0.268938,0.381694
948,100,0.528286,0.504313
1960,50,0.70146,0.539886
7864,3250,0.183615,0.321907
9777,50,0.542013,0.443202
6600,5000,0.309666,0.392014
7926,950,0.202819,0.309124
9835,50,0.310282,0.34769
7326,2600,0.331625,0.391308
4538,350,0.268547,0.405465
2703,600,0.204716,0.304812
1945,50,0.497194,0.504268
648,250,0.194713,0.31557
9330,1250,0.311392,0.356372
5339,500,0.274673,0.303842
7099,50,0.478374,0.456539
7375,100,0.371615,0.404472
1634,100,0.563367,0.539114
7828,50,0.451143,0.298962
2553,3050,0.239434,0.330083
2464,300,0.202852,0.286735
4414,5000,0.298204,0.358706
9086,50,0.694782,0.371464
4037,100,0.456115,0.542765
7575,5000,0.373526,0.282512
578,5000,0.186058,0.343937
1003,3550,0.176987,0.293324
9911,150,0.259377,0.28839
9037,1950,0.196918,0.281299
1508,2750,0.156177,0.301411
6139,50,0.660776,0.652375
4130,150,0.33264,0.398096
7673,50,0.615753,0.448603
4472,200,0.355176,0.451562
5134,50,0.367864,0.339928
1992,800,0.200349,0.287552
9009,250,0.248382,0.363157
270,350,0.225352,0.33063
7422,450,0.326242,0.350352
5667,3100,0.221081,0.362837
7404,50,0.417796,0.374452
8690,50,0.449046,0.370021
3422,350,0.432729,0.399453
9909,100,0.330985,0.369476
9313,300,0.389404,0.355186
5540,50,0.573508,0.557103
4396,50,0.375742,0.468585
