query_idx,ef_true,RV_unw,m_LID
1925,50,0.277412,10.2571
6106,100,0.193395,16.3262
9166,50,0.245166,14.4272
4397,50,0.441684,8.97087
6060,2000,0.0988391,19.3179
8971,50,0.463103,12.5329
2060,1900,0.0729927,21.9851
2565,50,0.57725,11.9837
4522,150,0.237256,27.83
1573,50,0.253884,11.8289
9555,100,0.213656,18.9955
4524,50,0.159985,6.22037
6186,600,0.0816764,22.6582
1509,1600,0.122687,19.6015
8049,200,0.149384,18.9606
6896,100,0.342901,12.7059
1771,2000,0.108228,17.7414
5379,50,0.30352,7.27334
3401,100,0.352705,12.455
1347,1050,0.171675,20.5796
3745,50,0.311581,16.2568
2556,50,0.237937,11.8988
3254,50,0.193455,6.7432
5042,200,0.189738,17.8845
4724,150,0.197927,14.8312
9449,50,0.228748,6.53909
9115,950,0.172164,27.3338
938,1750,0.144989,23.2978
8623,50,0.288288,8.95607
5933,50,0.195205,23.1395
2137,550,0.0846481,26.6584
273,50,0.155908,13.2888
7782,50,0.277503,19.3306
503,50,0.181594,6.97611
872,50,0.265778,19.9176
9059,50,0.316705,6.39641
4510,200,0.186939,13.7693
1585,50,0.257434,10.0038
6542,650,0.235951,23.6097
3549,100,0.160752,15.1621
9332,150,0.213967,29.2437
488,950,0.0832015,26.2441
7214,50,0.344922,17.6359
5018,50,0.261224,6.20419
8314,50,0.241026,17.6732
9257,2000,0.0837639,27.7772
141,50,0.385158,12.4086
4595,50,0.183891,15.0697
5695,1500,0.0873333,30.8416
4579,2000,0.12214,16.0846
7527,50,0.128551,10.441
9321,100,0.315993,18.4584
239,650,0.0937805,15.427
5485,150,0.176711,14.155
4188,50,0.191584,13.0457
7689,100,0.169656,19.6452
1027,50,0.378158,5.92385
9496,50,0.408928,6.04756
6090,100,0.336868,13.6002
4702,300,0.114083,25.0087
7879,300,0.194124,23.3332
4760,350,0.159301,13.8045
1146,2000,0.0952692,23.5622
6960,50,0.249711,9.61001
351,2000,0.15793,32.5563
1525,2000,0.0820765,21.1286
9753,500,0.180906,34.5799
9619,550,0.132582,26.8381
9715,500,0.132082,25.6226
5717,100,0.320503,16.8815
2452,50,0.214981,11.2106
7907,50,0.265143,18.3878
2356,100,0.238041,14.8068
9868,50,0.520315,7.34762
8833,250,0.139356,15.5481
4525,50,0.161508,14.8162
4990,50,0.387833,9.78214
8237,50,0.206959,11.5273
9067,50,0.314631,12.2081
8468,50,0.251313,17.5792
1029,1350,0.107622,28.7326
251,50,0.294887,12.6428
4733,50,0.268205,15.2352
4528,400,0.153032,15.103
817,1800,0.0947065,22.6473
3074,2000,0.073612,25.498
5494,50,0.19309,9.73812
102,1500,0.112066,19.4948
3267,50,0.42376,10.8799
4610,2000,0.113573,22.74
4540,50,0.208321,10.5545
8958,300,0.106333,18.7389
3111,1500,0.0789629,28.7973
2860,2000,0.0889507,23.184
5053,50,0.329213,14.2738
1616,50,0.27355,12.0568
6331,50,0.133583,14.4711
4979,750,0.122954,11.2979
6202,50,0.302989,13.4194
4511,400,0.0772579,23.1842
3969,450,0.163408,17.0127
7737,50,0.288499,12.4976
6520,50,0.392624,6.32246
1147,700,0.0909725,22.4038
4533,100,0.140828,9.45942
2053,50,0.317208,12.305
6722,50,0.229515,8.15818
9187,50,0.438758,7.87695
1853,50,0.351362,10.1601
236,100,0.129496,15.9212
1393,100,0.267843,15.323
56,200,0.143369,18.5208
