query_idx,ef_true,RV_unw,RV_rank_5,RV_rank_10
9449,50,0.228748,0.541311,0.693209
9115,950,0.172164,0.382105,0.484965
938,1750,0.144989,0.37936,0.521629
8623,50,0.288288,0.569597,0.691263
5933,50,0.195205,0.438937,0.552943
2137,550,0.0846481,0.228422,0.324684
273,50,0.155908,0.360676,0.475162
7782,50,0.277503,0.571973,0.683579
503,50,0.181594,0.47432,0.641041
872,50,0.265778,0.484941,0.571559
9059,50,0.316705,0.616201,0.733156
4510,200,0.186939,0.411446,0.526838
1585,50,0.257434,0.534499,0.647788
6542,650,0.235951,0.512764,0.63196
3549,100,0.160752,0.379394,0.488106
9332,150,0.213967,0.427898,0.521893
488,950,0.0832015,0.222023,0.317814
7214,50,0.344922,0.617626,0.705603
5018,50,0.261224,0.552538,0.684042
8314,50,0.241026,0.535615,0.666793
9257,2000,0.0837639,0.219148,0.314185
141,50,0.385158,0.701807,0.801693
4595,50,0.183891,0.411761,0.527095
5695,1500,0.0873333,0.224741,0.317315
4579,2000,0.12214,0.313992,0.433328
7527,50,0.128551,0.315768,0.425892
9321,100,0.315993,0.606294,0.716682
239,650,0.0937805,0.243492,0.351674
5485,150,0.176711,0.422892,0.553974
4188,50,0.191584,0.423605,0.53682
7689,100,0.169656,0.377601,0.473913
1027,50,0.378158,0.68779,0.789753
9496,50,0.408928,0.724366,0.821821
6090,100,0.336868,0.603874,0.703181
4702,300,0.114083,0.266031,0.352654
7879,300,0.194124,0.414874,0.522881
4760,350,0.159301,0.394605,0.521268
1146,2000,0.0952692,0.260456,0.367566
6960,50,0.249711,0.522724,0.656675
351,2000,0.15793,0.354421,0.455489
1525,2000,0.0820765,0.227242,0.328313
9753,500,0.180906,0.363021,0.446811
9619,550,0.132582,0.318161,0.429873
9715,500,0.132082,0.316538,0.417524
5717,100,0.320503,0.598728,0.699387
2452,50,0.214981,0.451657,0.560059
7907,50,0.265143,0.55505,0.669402
2356,100,0.238041,0.488171,0.597235
9868,50,0.520315,0.789558,0.856313
8833,250,0.139356,0.321209,0.424914
4525,50,0.161508,0.375132,0.492329
4990,50,0.387833,0.718945,0.807413
8237,50,0.206959,0.446838,0.559823
9067,50,0.314631,0.623295,0.742272
8468,50,0.251313,0.523377,0.642815
1029,1350,0.107622,0.275847,0.381821
251,50,0.294887,0.616885,0.742964
4733,50,0.268205,0.538308,0.648625
4528,400,0.153032,0.354205,0.464812
817,1800,0.0947065,0.229875,0.322051
3074,2000,0.073612,0.205098,0.295294
5494,50,0.19309,0.436082,0.555261
102,1500,0.112066,0.28471,0.390751
3267,50,0.42376,0.726612,0.808423
4610,2000,0.113573,0.2759,0.37396
4540,50,0.208321,0.486975,0.619126
8958,300,0.106333,0.264697,0.362733
3111,1500,0.0789629,0.21528,0.313321
2860,2000,0.0889507,0.229624,0.32795
5053,50,0.329213,0.614713,0.717448
1616,50,0.27355,0.572099,0.686103
6331,50,0.133583,0.311054,0.420589
4979,750,0.122954,0.328234,0.460637
6202,50,0.302989,0.64914,0.77946
4511,400,0.0772579,0.240463,0.360997
3969,450,0.163408,0.365717,0.468805
7737,50,0.288499,0.604272,0.722879
6520,50,0.392624,0.708899,0.802656
1147,700,0.0909725,0.270997,0.388174
4533,100,0.140828,0.336773,0.440497
2053,50,0.317208,0.608246,0.719036
6722,50,0.229515,0.493408,0.62016
9187,50,0.438758,0.74837,0.835677
1853,50,0.351362,0.620651,0.713311
236,100,0.129496,0.322385,0.424853
1393,100,0.267843,0.550542,0.673423
56,200,0.143369,0.327105,0.439943
