query_idx,ef_true,RV_normgauss_5.0,RV_normgauss_10.0,RV_normgauss_20.0,RV_normgauss_50.0,RV_normgauss_100.0
6896,50,0.5,0.5,0.4,0.4,0.4
1771,300,0.3,0.4,0.3,0.3,0.4
5379,50,0.6,0.7,0.7,0.6,0.6
3401,50,0.7,0.7,0.8,0.7,0.7
1347,650,0.3,0.4,0.5,0.4,0.4
3745,150,0.5,0.7,0.8,0.8,0.8
2556,300,0.4,0.6,0.6,0.6,0.5
3254,50,0.4,0.6,0.6,0.7,0.7
5042,50,0.8,0.9,0.9,0.9,0.8
4724,150,0.5,0.7,0.9,1.0,1.0
9449,50,0.9,1.0,1.0,1.0,1.0
9115,150,0.5,0.7,0.8,0.9,0.9
938,50,0.5,0.4,0.4,0.4,0.4
8623,100,0.5,0.6,0.6,0.6,0.6
5933,50,0.5,0.6,0.6,0.5,0.5
2137,50,0.7,0.8,0.8,0.7,0.6
273,50,0.7,0.9,0.9,0.9,0.9
7782,100,0.5,0.5,0.5,0.6,0.6
503,50,0.8,0.8,0.9,0.9,0.8
872,50,0.7,0.8,0.7,0.7,0.6
9059,100,0.5,0.6,0.7,0.7,0.7
4510,400,0.5,0.7,0.8,0.8,0.9
1585,50,0.8,0.8,0.9,0.9,0.9
6542,100,0.5,0.5,0.6,0.7,0.7
3549,400,0.4,0.4,0.4,0.4,0.4
9332,50,0.6,0.6,0.7,0.7,0.7
488,200,0.4,0.5,0.6,0.6,0.6
7214,50,0.5,0.5,0.6,0.6,0.6
5018,50,0.8,0.8,0.7,0.7,0.7
8314,50,0.4,0.6,0.6,0.5,0.5
9257,50,0.4,0.5,0.4,0.4,0.3
141,50,0.5,0.7,0.7,0.7,0.7
4595,50,0.9,0.9,0.9,0.9,0.9
5695,200,0.4,0.5,0.5,0.4,0.4
4579,50,0.4,0.5,0.6,0.6,0.6
7527,50,0.9,0.9,0.9,0.9,0.9
9321,50,0.9,0.9,0.9,0.9,0.9
239,50,0.8,0.9,0.9,0.9,0.9
5485,50,0.6,0.7,0.7,0.8,0.8
4188,900,0.2,0.2,0.3,0.3,0.2
7689,100,0.5,0.7,0.7,0.7,0.7
1027,50,0.6,0.7,0.7,0.6,0.6
9496,100,0.4,0.4,0.4,0.4,0.4
6090,100,0.3,0.5,0.6,0.6,0.6
4702,300,0.3,0.4,0.5,0.5,0.6
7879,200,0.4,0.5,0.7,0.8,0.9
4760,50,0.3,0.5,0.5,0.6,0.6
1146,1200,0.2,0.2,0.3,0.3,0.4
6960,1200,0.3,0.4,0.6,0.6,0.6
351,50,0.6,0.7,0.8,0.8,0.8
1525,1550,0.3,0.4,0.4,0.5,0.5
9753,50,0.5,0.5,0.5,0.6,0.6
9619,1000,0.4,0.8,1.0,1.0,1.0
9715,100,0.4,0.5,0.4,0.5,0.5
5717,100,0.7,0.7,0.8,0.8,0.9
2452,100,0.6,0.7,0.8,0.7,0.7
7907,50,0.6,0.6,0.6,0.6,0.5
2356,800,0.3,0.3,0.3,0.3,0.3
9868,50,0.6,0.7,0.7,0.7,0.7
8833,100,0.4,0.5,0.5,0.5,0.5
4525,100,0.3,0.3,0.3,0.3,0.3
4990,50,0.6,0.6,0.6,0.6,0.6
8237,200,0.3,0.4,0.4,0.3,0.2
9067,100,0.8,0.8,0.9,0.8,0.8
8468,50,0.5,0.4,0.4,0.4,0.5
1029,50,0.6,0.6,0.6,0.5,0.5
251,50,0.6,0.6,0.6,0.7,0.7
4733,350,0.3,0.4,0.5,0.5,0.5
4528,150,0.3,0.4,0.5,0.4,0.4
817,50,0.6,0.8,0.8,0.8,0.7
3074,50,0.7,0.7,0.6,0.7,0.7
5494,100,0.6,0.7,0.6,0.5,0.4
102,50,0.7,0.7,0.6,0.6,0.6
3267,100,0.4,0.4,0.4,0.4,0.3
4610,50,0.6,0.6,0.6,0.6,0.6
4540,50,0.6,0.7,0.8,0.8,0.8
8958,250,0.3,0.4,0.5,0.6,0.6
3111,50,0.5,0.7,0.8,0.8,0.8
2860,100,0.5,0.7,0.7,0.6,0.5
5053,150,0.4,0.5,0.6,0.7,0.7
1616,50,0.8,0.8,0.8,0.8,0.8
6331,700,0.3,0.4,0.5,0.5,0.6
4979,200,0.4,0.6,0.6,0.6,0.6
6202,450,0.4,0.5,0.5,0.6,0.6
4511,150,0.4,0.4,0.4,0.4,0.4
3969,50,0.7,0.7,0.8,0.8,0.8
7737,100,0.3,0.5,0.5,0.5,0.5
6520,50,0.6,0.6,0.5,0.5,0.5
1147,50,0.5,0.6,0.5,0.5,0.6
4533,100,0.5,0.7,0.7,0.6,0.6
2053,400,0.3,0.4,0.6,0.6,0.6
6722,100,0.5,0.8,1.0,1.0,1.0
9187,350,0.3,0.4,0.4,0.3,0.3
1853,150,0.3,0.5,0.6,0.6,0.5
